Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
10/27/2024,UBER,11.93,"Q1FSANX7    8005928996
AplPay Uber Trip
help.uber.com
CA
8005928996",AplPay Uber Trip    help.uber.com       CA,"1455 Market St 400
-","SAN FRANCISCO
CA",94103,UNITED STATES,'320243010149810856',Transportation-Taxis & Coach
10/27/2024,UBER,13.98,"32VEZ1AS    8005928996
AplPay Uber Trip
help.uber.com
CA
8005928996",AplPay Uber Trip    help.uber.com       CA,"1455 Market St 400
-","SAN FRANCISCO
CA",94103,UNITED STATES,'320243010149874902',Transportation-Taxis & Coach
10/26/2024,UBER,41.68,"3RV44VXD    8005928996
AplPay Uber Trip
help.uber.com
CA
8005928996",AplPay Uber Trip    help.uber.com       CA,"1455 Market St 400
-","SAN FRANCISCO
CA",94103,UNITED STATES,'320243000127080556',Transportation-Taxis & Coach
10/25/2024,AplPay AIRALO       SINGAPORE           SG,26.00,"NT_R5ZHTYEM +6583029360
AplPay AIRALO
SINGAPORE
SG
+6583029360",AplPay AIRALO       SINGAPORE           SG,"79 ANSON ROAD
SINGAPORE",,079906,SINGAPORE,'320242990102038419',Business Services-Internet Services
10/25/2024,AplPay APPLE STORE RSAN FRANCISCO       CA,1009.13,"07510646260 ELECTRONICS STORE
AplPay APPLE STORE R075 R075
SAN FRANCISCO
CA
ELECTRONICS STORE",AplPay APPLE STORE RSAN FRANCISCO       CA,1 STOCKTON ST,"SAN FRANCISCO
CA",94108-5805,UNITED STATES,'320243000133388093',Merchandise & Supplies-Computer Supplies
10/25/2024,AplPay STARBUCKS STOSAN FRANCISCO       CA,11.60,"36376B56735 FAST FOOD RESTAURANT
AplPay STARBUCKS STORE 0575
SAN FRANCISCO
CA
FAST FOOD RESTAURANT",AplPay STARBUCKS STOSAN FRANCISCO       CA,390 STOCKTON ST,"SAN FRANCISCO
CA",94108,UNITED STATES,'320243000122724997',Restaurant-Bar & Café
10/23/2024,AGODA.COM THE CLIFT LONDON              GB,1060.92,"######82eXx TRAVEL AGENCY
AGODA.COM THE CLIFT
LONDON
GB
TRAVEL AGENCY",AGODA.COM THE CLIFT LONDON              GB,SUBMISSIONS USD,"UK
000",A0000,UNITED STATES,'320243000122604626',Travel-Travel Agencies
10/21/2024,DOHO                SEOUL,53.81,"RESTAURANT
DOHO
SEOUL
RESTAURANTForeign Spend Amount: 74000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",DOHO                SEOUL,"SEOULGANGNAM-GU
""BONGEUNSALO4GIL 11, (YEOKSAMDONG) 1CHE""
SEOUL",,06123,"KOREA, REPUBLIC OF",'320242960012619013',Restaurant-Restaurant
10/21/2024,JANGSAINGGEONGANGUEOSEOUL,30.54,"RESTAURANT
JANGSAINGGEONGANGUEON
SEOUL
RESTAURANTForeign Spend Amount: 42000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",JANGSAINGGEONGANGUEOSEOUL,"SEOULGANGNAM-GU
""GANGNAMDAILO124GIL 23, 1CHEUNG 102HO 1""
SEOUL",,06114,"KOREA, REPUBLIC OF",'320242960012655588',Restaurant-Restaurant
10/21/2024,NYUYOKREOBEUBEIGEUL SEOUL,12.65,"RESTAURANT
NYUYOKREOBEUBEIGEUL GANGNAMBONJEOM
SEOUL
RESTAURANTForeign Spend Amount: 17400.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",NYUYOKREOBEUBEIGEUL SEOUL,"SEOULGANGNAM-GU
""BONGEUNSALO2GIL 31, JIHA1CHEUNG B102HO""
SEOUL",,06123,"KOREA, REPUBLIC OF",'320242960013390020',Restaurant-Restaurant
