Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
08/30/2024,(JOO)TIMEONI        SEOUL,7.66,"TAXICAB & LIMOUSINE
08/30/2024,DALMAIKSYUPEO       SEOUL,12.04,"GROCERY STORE
08/30/2024,DEOBOOSSEU GYEONGLIDSEOUL,16.41,"RESTAURANT
08/30/2024,FOREIGN TRANSACTION FEE,0.03,"JIESEU25YOINGSANGYEONGLIDANJEOM
08/30/2024,FOREIGN TRANSACTION FEE,0.04,"GS25SAMSEONGHANULJEOM
08/30/2024,FOREIGN TRANSACTION FEE,0.05,"kakaomobility
08/30/2024,FOREIGN TRANSACTION FEE,0.20,"(JOO)TIMEONI
08/30/2024,FOREIGN TRANSACTION FEE,0.22,"GS25SAMSEONGHANULJEOM
08/30/2024,FOREIGN TRANSACTION FEE,0.24,"kakaomobility
08/30/2024,FOREIGN TRANSACTION FEE,0.32,"DALMAIKSYUPEO
08/30/2024,FOREIGN TRANSACTION FEE,0.33,"KOLLI(COLEY)
08/30/2024,FOREIGN TRANSACTION FEE,0.44,"DEOBOOSSEU GYEONGLIDANJEOM
08/30/2024,FOREIGN TRANSACTION FEE,0.66,"kakaomobility
08/30/2024,FOREIGN TRANSACTION FEE,0.68,"PANTELA(pantera)
08/30/2024,FOREIGN TRANSACTION FEE,1.45,"JOOSIKHOISA SAUKSEUSAIDEU
08/30/2024,GS25SAMSEONGHANULJEOSEOUL,1.60,"MISC FOOD STORE
08/30/2024,GS25SAMSEONGHANULJEOSEOUL,8.39,"MISC FOOD STORE
08/30/2024,JIESEU25YOINGSANGYEOSEOUL,1.46,"MISC FOOD STORE
08/30/2024,JOOSIKHOISA SAUKSEUSSEOUL,53.98,"RESTAURANT
08/30/2024,KOLLI(COLEY)        SEOUL,12.40,"RESTAURANT
08/30/2024,PANTELA(pantera)    SEOUL,25.53,"RESTAURANT
08/30/2024,kakaomobility       SEOUL,2.19,"MISC/SPECIALTY RETAIL
08/30/2024,kakaomobility       SEOUL,9.12,"MISC/SPECIALTY RETAIL
08/30/2024,kakaomobility       SEOUL,24.51,"MISC/SPECIALTY RETAIL
