Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
11/06/2024,AplPay CHICAGO CAMBRCHICAGO             IL,88.06,"0772027162  (814)234-4460
11/06/2024,AplPay METRA MOBILE CHICAGO             IL,6.75,"00344376176 8776698368
11/06/2024,UBER,6.95,"CAMQBNAR    8005928996
11/06/2024,UBER,8.95,"H21FSSXH    8005928996
11/06/2024,UBER,9.91,"53XF03FD    8005928996
11/06/2024,UBER,14.95,"M2CN70QX    8005928996
11/06/2024,UBER,43.41,"B2JGDGFP    8005928996
11/06/2024,HOPSMITH TAVERN CHICCHICAGO             IL,72.06,"44400059    312-600-9816
11/06/2024,Interest Charge on Purchases,341.96,Interest Charge on Purchases,Interest Charge on Purchases,,,,,'141107040000107856',Fees & Adjustments-Fees & Adjustments
11/06/2024,TST* LONE WOLF TAVERCHICAGO             IL,96.18,"XHNYed7SD00 3126009391
11/06/2024,WALGREENS           CHICAGO             IL,27.25,"99999994312NONE             60654
