date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-02-29,Amex Blue Sky,(JOO)TIMEONI        SEOUL,-5.24,Transportation-Taxis & Coach,(JOO)TIMEONI        SEOUL,TAXICAB & LIMOUSINE | (JOO)TIMEONI | SEOUL | TAXICAB & LIMOUSINE,7000.00 KOREAN (SOUTH) WON,'320240640044613512',"KOREA, REPUBLIC OF"
2024-02-29,Amex Blue Sky,(JOO)TIMEONI        SEOUL,-6.37,Transportation-Taxis & Coach,(JOO)TIMEONI        SEOUL,TAXICAB & LIMOUSINE | (JOO)TIMEONI | SEOUL | TAXICAB & LIMOUSINE,8500.00 KOREAN (SOUTH) WON,'320240640044302288',"KOREA, REPUBLIC OF"
2024-02-29,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.14,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,(JOO)TIMEONI | $5.24 | FOREIGN TRANSACTION FEE,,'820240640044613512',
2024-02-29,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.17,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $6.38 | FOREIGN TRANSACTION FEE,,'820240610979869228',
2024-02-29,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.17,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,(JOO)TIMEONI | $6.37 | FOREIGN TRANSACTION FEE,,'820240640044302288',
2024-02-29,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.23,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $8.60 | FOREIGN TRANSACTION FEE,,'820240600940288562',
2024-02-29,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-6.38,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,HMTMNAC2 ADVK5VYE | UBER TRIP | HTTPS://HELP.UBER.COM | ADVK5VYE,8500.00 KOREAN (SOUTH) WON,'320240610979869228',NETHERLANDS
2024-02-29,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-8.6,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,NVGP4PB5 KLRK4R7K | UBER TRIP | HTTPS://HELP.UBER.COM | KLRK4R7K,11500.00 KOREAN (SOUTH) WON,'320240600940288562',NETHERLANDS
2024-02-29,Amex Platinum,BA TI SENTEU        SEOUL,-46.51,Restaurant-Restaurant,BA TI SENTEU        SEOUL,RESTAURANT | BA TI SENTEU | SEOUL | RESTAURANT,62000.00 KOREAN (SOUTH) WON,'320240610965188625',"KOREA, REPUBLIC OF"
2024-02-29,Amex Platinum,JOOSIKHOISA PIIEL   SEOUL,-96.77,Restaurant-Restaurant,JOOSIKHOISA PIIEL   SEOUL,RESTAURANT | JOOSIKHOISA PIIEL | SEOUL | RESTAURANT,129000.00 KOREAN (SOUTH) WON,'320240610965183315',"KOREA, REPUBLIC OF"
2024-02-29,Amex Platinum,KRP*Eximbay         SEOUL,5.92,Communications-Cable & Internet Comm,KRP*Eximbay         SEOUL,KRP*Eximbay | SEOUL,,'320241350798680373',"KOREA, REPUBLIC OF"
2024-02-29,Amex Platinum,KRP*Eximbay         SEOUL,2.25,Communications-Cable & Internet Comm,KRP*Eximbay         SEOUL,KRP*Eximbay | SEOUL,,'320241350798671435',"KOREA, REPUBLIC OF"
2024-02-29,Amex Platinum,KRP*Eximbay         SEOUL,-2.25,Communications-Cable & Internet Comm,KRP*Eximbay         SEOUL,COMPUTER NETWORK/INFO | KRP*Eximbay | SEOUL | COMPUTER NETWORK/INFO,3000.00 KOREAN (SOUTH) WON,'320240640056847214',"KOREA, REPUBLIC OF"
2024-02-29,Amex Platinum,KRP*Eximbay         SEOUL,-5.92,Communications-Cable & Internet Comm,KRP*Eximbay         SEOUL,COMPUTER NETWORK/INFO | KRP*Eximbay | SEOUL | COMPUTER NETWORK/INFO,7900.00 KOREAN (SOUTH) WON,'320240640056847219',"KOREA, REPUBLIC OF"
2024-02-29,Amex Platinum,SEOULBAKNAIGOAEUIUEOSEOUL,-13.2,Business Services-Health Care Services,SEOULBAKNAIGOAEUIUEOSEOUL,HOSPITAL | SEOULBAKNAIGOAEUIUEON | SEOUL | HOSPITAL,17600.00 KOREAN (SOUTH) WON,'320240610965171567',"KOREA, REPUBLIC OF"
2024-02-29,Amex Platinum,UKLIONNOOLIYAKGOOK  SEOUL,-8.32,Merchandise & Supplies-Pharmacies,UKLIONNOOLIYAKGOOK  SEOUL,DRUG STORE/PHARMACY | UKLIONNOOLIYAKGOOK | SEOUL | DRUG STORE/PHARMACY,11090.00 KOREAN (SOUTH) WON,'320240610965171675',"KOREA, REPUBLIC OF"
