date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-03-10,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.15,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $5.91 | FOREIGN TRANSACTION FEE,,'820240710228812696',
2024-03-10,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.16,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $6.29 | FOREIGN TRANSACTION FEE,,'820240710227397624',
2024-03-10,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.18,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $6.82 | FOREIGN TRANSACTION FEE,,'820240700189277196',
2024-03-10,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-5.91,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,1WWEYY11 2LK2WXAF | UBER TRIP | HTTPS://HELP.UBER.COM | 2LK2WXAF,7800.00 KOREAN (SOUTH) WON,'320240710228812696',NETHERLANDS
2024-03-10,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-6.29,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,KSWETAW9 OTEH5S5V | UBER TRIP | HTTPS://HELP.UBER.COM | OTEH5S5V,8300.00 KOREAN (SOUTH) WON,'320240710227397624',NETHERLANDS
2024-03-10,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-6.82,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,QFAW9GKD 5R2VUTYS | UBER TRIP | HTTPS://HELP.UBER.COM | 5R2VUTYS,9000.00 KOREAN (SOUTH) WON,'320240700189277196',NETHERLANDS
2024-03-10,Amex Platinum,(JOO) KINGMATEU     SEOUL,-52.17,Merchandise & Supplies-Groceries,(JOO) KINGMATEU     SEOUL,GROCERY STORE | (JOO) KINGMATEU | SEOUL | GROCERY STORE,68850.00 KOREAN (SOUTH) WON,'320240710213459977',"KOREA, REPUBLIC OF"
2024-03-10,Amex Platinum,BOLTEUSEUTEIKEUHAUKSSEOUL,-206.77,Restaurant-Restaurant,BOLTEUSEUTEIKEUHAUKSSEOUL,RESTAURANT | BOLTEUSEUTEIKEUHAUKSEU JOOSIKHOISA | SEOUL | RESTAURANT,272900.00 KOREAN (SOUTH) WON,'320240710213457703',"KOREA, REPUBLIC OF"
2024-03-10,Amex Platinum,JOOSIKHOISA LEUCHAEMSEOUL,-150.02,Restaurant-Restaurant,JOOSIKHOISA LEUCHAEMSEOUL,RESTAURANT | JOOSIKHOISA LEUCHAEMBEO | SEOUL | RESTAURANT,198000.00 KOREAN (SOUTH) WON,'320240710214218441',"KOREA, REPUBLIC OF"
2024-03-10,Amex Platinum,SCK COMPANY         SEOUL,-7.5,Restaurant-Restaurant,SCK COMPANY         SEOUL,RESTAURANT | SCK COMPANY | SEOUL | RESTAURANT,9900.00 KOREAN (SOUTH) WON,'320240710214204275',"KOREA, REPUBLIC OF"
2024-03-10,Amex Platinum,SCK COMPANY         SEOUL,-20.15,Restaurant-Restaurant,SCK COMPANY         SEOUL,RESTAURANT | SCK COMPANY | SEOUL | RESTAURANT,26600.00 KOREAN (SOUTH) WON,'320240710214192554',"KOREA, REPUBLIC OF"
2024-03-10,Privacy,"COUPANG CO., LTD  5826227",-25.03,Privacy Card,Card ending in 6652,,,63704ece-01c1-4f49-8fa1-39af009c4a59,
