date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-08-02,Amex Platinum,AplPay AIRALO       SINGAPORE           SG,-19.65,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_QALGW3W6 +6583029360 | AplPay AIRALO | SINGAPORE | SG | +6583029360,,'320242150921301854',SINGAPORE
2024-08-02,Amex Platinum,AplPay Taipei 101  1TAIPEI CITY,-14.39,Merchandise & Supplies-Department Stores,AplPay Taipei 101  1TAIPEI CITY,DEPARTMENT STORE | AplPay Taipei 101 13178 | TAIPEI CITY | DEPARTMENT STORE,470.00 NEW TAIWAN DOLLAR,'320242160951082984',TAIWAN
2024-08-02,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,-8.02,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,NH638TR8 HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | TW | HELP.UBER.COM,262.00 NEW TAIWAN DOLLAR,'320242150898304705',NETHERLANDS
2024-08-02,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,-8.75,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,NH8ESWJE HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | TW | HELP.UBER.COM,286.00 NEW TAIWAN DOLLAR,'320242150898338972',NETHERLANDS
2024-08-02,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,-12.55,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,FCYFN3KG HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | TW | HELP.UBER.COM,410.00 NEW TAIWAN DOLLAR,'320242150915613678',NETHERLANDS
2024-08-02,Chase Ink,TAIWAN FOODEX CO.LTD.,-36.09,Food & Drink,,,,,
2024-08-02,Chase Ink,TAIWAN TAXI,-3.66,Travel,,,,,
2024-08-02,Chase Ink,TAIWAN TAXI,-4.58,Travel,,,,,
2024-08-02,Chase Ink,WOK BY OBOND,-303.25,Food & Drink,,,,,
2024-08-02,Chase Ink,EVER RICH D.F.S CORPORATI,-175.44,Merchandise & Inventory,,,,,
2024-08-02,Chase Ink,PULMUONE FOOD &amp; CULTURE,-2.94,Food & Drink,,,,,
2024-08-02,Chase Ink,BREEZE NAN SHAN,-50.34,Merchandise & Inventory,,,,,
