date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-02-12,Amex Blue Sky,(JOO)TIMEONI        SEOUL,-9.93,Transportation-Taxis & Coach,(JOO)TIMEONI        SEOUL,TAXICAB & LIMOUSINE | (JOO)TIMEONI | SEOUL | TAXICAB & LIMOUSINE,13200.00 KOREAN (SOUTH) WON,'320240440556995148',"KOREA, REPUBLIC OF"
2024-02-12,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.12,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $4.51 | FOREIGN TRANSACTION FEE,,'820240430548138716',
2024-02-12,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.21,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $7.89 | FOREIGN TRANSACTION FEE,,'820240430545143114',
2024-02-12,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.26,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,(JOO)TIMEONI | $9.93 | FOREIGN TRANSACTION FEE,,'820240440556995148',
2024-02-12,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.34,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $12.92 | FOREIGN TRANSACTION FEE,,'820240430537501655',
2024-02-12,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-4.51,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,QVJ7PJZD 3PXVKNBP | UBER TRIP | HTTPS://HELP.UBER.COM | 3PXVKNBP,6000.00 KOREAN (SOUTH) WON,'320240430548138716',NETHERLANDS
2024-02-12,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-7.89,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,BVZAEJWS Q3V3SBGQ | UBER TRIP | HTTPS://HELP.UBER.COM | Q3V3SBGQ,10500.00 KOREAN (SOUTH) WON,'320240430545143114',NETHERLANDS
2024-02-12,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-12.92,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,KXYZ1R4N WJWYF576 | UBER TRIP | HTTPS://HELP.UBER.COM | WJWYF576,17200.00 KOREAN (SOUTH) WON,'320240430537501655',NETHERLANDS
2024-02-12,Amex Platinum,(JOO)TIMEONI        SEOUL,-17.15,Transportation-Taxis & Coach,(JOO)TIMEONI        SEOUL,TAXICAB & LIMOUSINE | (JOO)TIMEONI | SEOUL | TAXICAB & LIMOUSINE,22800.00 KOREAN (SOUTH) WON,'320240440557227175',"KOREA, REPUBLIC OF"
2024-02-12,Amex Platinum,GERISEUN            SEOUL,-30.84,Restaurant-Restaurant,GERISEUN            SEOUL,RESTAURANT | GERISEUN | SEOUL | RESTAURANT,41000.00 KOREAN (SOUTH) WON,'320240440556990374',"KOREA, REPUBLIC OF"
2024-02-12,Amex Platinum,HANSIKTAK           SEOUL,-116.57,Restaurant-Restaurant,HANSIKTAK           SEOUL,RESTAURANT | HANSIKTAK | SEOUL | RESTAURANT,155000.00 KOREAN (SOUTH) WON,'320240440557003809',"KOREA, REPUBLIC OF"
2024-02-12,Amex Platinum,JOOSIKHOISA EIPIAL  SEOUL,-3.76,Merchandise & Supplies-Department Stores,JOOSIKHOISA EIPIAL  SEOUL,COSMETIC STORE | JOOSIKHOISA EIPIAL | SEOUL | COSMETIC STORE,5000.00 KOREAN (SOUTH) WON,'320240440557169316',"KOREA, REPUBLIC OF"
2024-02-12,Amex Platinum,JUSIKHOESA KEURIKESSSEOUL,-103.79,Restaurant-Restaurant,JUSIKHOESA KEURIKESSSEOUL,RESTAURANT | JUSIKHOESA KEURIKESSEOUL | SEOUL | RESTAURANT,138000.00 KOREAN (SOUTH) WON,'320240440556988363',"KOREA, REPUBLIC OF"
2024-02-12,Amex Platinum,PAINAENKO           SEOUL,-90.25,Restaurant-Restaurant,PAINAENKO           SEOUL,RESTAURANT | PAINAENKO | SEOUL | RESTAURANT,120000.00 KOREAN (SOUTH) WON,'320240440556989294',"KOREA, REPUBLIC OF"
2024-02-12,Amex Platinum,first lab           SEOUL,-1.88,Restaurant-Restaurant,first lab           SEOUL,RESTAURANT | first lab | SEOUL | RESTAURANT,2500.00 KOREAN (SOUTH) WON,'320240440557163533',"KOREA, REPUBLIC OF"
