date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-09-30,Amex Blue Sky,AUTOPAY PAYMENT - THANK YOU,214.71,,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,'320242740426442454',
2024-09-22,Amex Blue Sky,(JOO)TIMEONI        SEOUL,-53.95,Transportation-Taxis & Coach,(JOO)TIMEONI        SEOUL,TAXICAB & LIMOUSINE | (JOO)TIMEONI | SEOUL | TAXICAB & LIMOUSINE,71700.00 KOREAN (SOUTH) WON,'320242670249782102',"KOREA, REPUBLIC OF"
2024-09-22,Amex Blue Sky,7-ELEVEN T3 #03-12  SINGAPORE           SG,-5.34,Merchandise & Supplies-Groceries,7-ELEVEN T3 #03-12  SINGAPORE           SG,052621 GROCERY STORE | 7-ELEVEN T3 #03-12 | SINGAPORE | SG |,6.88 SINGAPORE DOLLAR,'320242650197418996',SINGAPORE
2024-09-22,Amex Blue Sky,BURGER KING SINGAPORSINGAPORE           SG,-8.22,Restaurant-Bar & Café,BURGER KING SINGAPORSINGAPORE           SG,2790862880 92283429 | BURGER KING SINGAPORE PTE LTD-B5605 04 | SINGAPORE | SG | 92283429,10.60 SINGAPORE DOLLAR,'320242660229212974',SINGAPORE
2024-09-22,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.14,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,7-ELEVEN T3 #03-12 | $5.34 | FOREIGN TRANSACTION FEE,,'820242650197418996',
2024-09-22,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.22,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,BURGER KING SINGAPORE PTE LTD-B5605 04 | $8.22 | FOREIGN TRANSACTION FEE,,'820242660229212974',
2024-09-22,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.31,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,HUDSONS CAFE - T3 | $11.64 | FOREIGN TRANSACTION FEE,,'820242660226941523',
2024-09-22,Amex Blue Sky,FOREIGN TRANSACTION FEE,-1.45,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,(JOO)TIMEONI | $53.95 | FOREIGN TRANSACTION FEE,,'820242670249782102',
2024-09-22,Amex Blue Sky,FOREIGN TRANSACTION FEE,-2.36,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,THE KITCHEN BY WOLFGANG PUCK | $87.43 | FOREIGN TRANSACTION FEE,,'820242650199486243',
2024-09-22,Amex Blue Sky,HUDSONS CAFE - T3   SINGAPORE           SG,-11.64,Restaurant-Restaurant,HUDSONS CAFE - T3   SINGAPORE           SG,036032 BAR/NIGHTCLUB | HUDSONS CAFE - T3 | SINGAPORE | SG | BAR/NIGHTCLUB,15.00 SINGAPORE DOLLAR,'320242660226941523',SINGAPORE
2024-09-22,Amex Blue Sky,THE KITCHEN BY WOLFGSINGAPORE           SG,-87.43,Restaurant-Restaurant,THE KITCHEN BY WOLFGSINGAPORE           SG,003767 BAR/NIGHTCLUB | THE KITCHEN BY WOLFGANG PUCK | SINGAPORE | SG |,112.70 SINGAPORE DOLLAR,'320242650199486243',SINGAPORE
2024-09-21,Amex Blue Sky,BIGHOUSE PTE LTD-B49SINGAPORE           SG,-4.65,Restaurant-Restaurant,BIGHOUSE PTE LTD-B49SINGAPORE           SG,2790520286 97953863 | BIGHOUSE PTE LTD-B4958 789792 | SINGAPORE | SG | 97953863,6.00 SINGAPORE DOLLAR,'320242650200829483',SINGAPORE
2024-09-21,Amex Blue Sky,BIGHOUSE PTE LTD-B49SINGAPORE           SG,-51.62,Restaurant-Restaurant,BIGHOUSE PTE LTD-B49SINGAPORE           SG,2790504427 97953863 | BIGHOUSE PTE LTD-B4958 789792 | SINGAPORE | SG | 97953863,66.54 SINGAPORE DOLLAR,'320242650200817123',SINGAPORE
2024-09-21,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.12,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,BIGHOUSE PTE LTD-B4958 789792 | $4.65 | FOREIGN TRANSACTION FEE,,'820242650200829483',
2024-09-21,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.25,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,PAN PACIFIC SINGAPORE-FRONT OFFICE | $9.31 | FOREIGN TRANSACTION FEE,,'820242650199486257',
2024-09-21,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.42,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,GRAB*A-6U4IJMXGWGR2 | $15.58 | FOREIGN TRANSACTION FEE,,'820242650206797627',
2024-09-21,Amex Blue Sky,FOREIGN TRANSACTION FEE,-1.39,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,BIGHOUSE PTE LTD-B4958 789792 | $51.62 | FOREIGN TRANSACTION FEE,,'820242650200817123',
2024-09-21,Amex Blue Sky,GRAB*A-6U4IJMXGWGR2 SINGAPORE           SG,-0.01,Transportation-Taxis & Coach,GRAB*A-6U4IJMXGWGR2 SINGAPORE           SG,70883722d29 TAXICAB & LIMOUSINE | GRAB*A-6U4IJMXGWGR2 | SINGAPORE | SG | TAXICAB & LIMOUSINE,0.01 SINGAPORE DOLLAR,'320242650206815371',SINGAPORE
2024-09-21,Amex Blue Sky,GRAB*A-6U4IJMXGWGR2 SINGAPORE           SG,-15.58,Transportation-Taxis & Coach,GRAB*A-6U4IJMXGWGR2 SINGAPORE           SG,5322d5fb899 TAXICAB & LIMOUSINE | GRAB*A-6U4IJMXGWGR2 | SINGAPORE | SG | TAXICAB & LIMOUSINE,20.08 SINGAPORE DOLLAR,'320242650206797627',SINGAPORE
2024-09-21,Amex Blue Sky,PAN PACIFIC SINGAPORSINGAPORE           SG,-9.31,Restaurant-Restaurant,PAN PACIFIC SINGAPORSINGAPORE           SG,000912 RESTAURANT | PAN PACIFIC SINGAPORE-FRONT OFFICE | SINGAPORE | SG | RESTAURANT,12.00 SINGAPORE DOLLAR,'320242650199486257',SINGAPORE
2024-09-20,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.11,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,GRAB*A-6UWJRIXGWGAP | $4.31 | FOREIGN TRANSACTION FEE,,'820242640176365338',
2024-09-20,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.41,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,GRAB*A-6UWJRIXGWGAP | $15.41 | FOREIGN TRANSACTION FEE,,'820242640176350316',
2024-09-20,Amex Blue Sky,GRAB*A-6UWJRIXGWGAP SINGAPORE           SG,-4.31,Transportation-Taxis & Coach,GRAB*A-6UWJRIXGWGAP SINGAPORE           SG,04856814df0 TAXICAB & LIMOUSINE | GRAB*A-6UWJRIXGWGAP | SINGAPORE | SG | TAXICAB & LIMOUSINE,5.56 SINGAPORE DOLLAR,'320242640176365338',SINGAPORE
2024-09-20,Amex Blue Sky,GRAB*A-6UWJRIXGWGAP SINGAPORE           SG,-15.41,Transportation-Taxis & Coach,GRAB*A-6UWJRIXGWGAP SINGAPORE           SG,e67c2c82e1a TAXICAB & LIMOUSINE | GRAB*A-6UWJRIXGWGAP | SINGAPORE | SG | TAXICAB & LIMOUSINE,19.88 SINGAPORE DOLLAR,'320242640176350316',SINGAPORE
2024-09-19,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.1,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,GRAB*A-6TTMT54WWJKL | $3.99 | FOREIGN TRANSACTION FEE,,'820242630146776992',
2024-09-19,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.64,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,GRAB*A-6TTMT54WWJKL | $23.83 | FOREIGN TRANSACTION FEE,,'820242630146740119',
2024-09-19,Amex Blue Sky,GRAB*A-6TTMT54WWJKL SINGAPORE           SG,-3.99,Transportation-Taxis & Coach,GRAB*A-6TTMT54WWJKL SINGAPORE           SG,3c7061b4db8 TAXICAB & LIMOUSINE | GRAB*A-6TTMT54WWJKL | SINGAPORE | SG | TAXICAB & LIMOUSINE,5.15 SINGAPORE DOLLAR,'320242630146776992',SINGAPORE
2024-09-19,Amex Blue Sky,GRAB*A-6TTMT54WWJKL SINGAPORE           SG,-23.83,Transportation-Taxis & Coach,GRAB*A-6TTMT54WWJKL SINGAPORE           SG,ed69176e6e0 TAXICAB & LIMOUSINE | GRAB*A-6TTMT54WWJKL | SINGAPORE | SG | TAXICAB & LIMOUSINE,30.80 SINGAPORE DOLLAR,'320242630146740119',SINGAPORE
2024-09-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.07,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,JOE & DOUGH FRASER STREET | $2.70 | FOREIGN TRANSACTION FEE,,'820242600076582409',
2024-09-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.1,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,JOE & DOUGH FRASER STREET | $3.85 | FOREIGN TRANSACTION FEE,,'820242600076582230',
2024-09-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.15,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,JOE & DOUGH FRASER STREET | $5.78 | FOREIGN TRANSACTION FEE,,'820242600076582123',
2024-09-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.27,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,THIRTY8 CONCEPTS PTE LTD-11192176200 1 | $10.02 | FOREIGN TRANSACTION FEE,,'820242600073221749',
2024-09-16,Amex Blue Sky,JOE & DOUGH FRASER SSINGAPORE           SG,-2.7,Restaurant-Bar & Café,JOE & DOUGH FRASER SSINGAPORE           SG,010852 RESTAURANT | JOE & DOUGH FRASER STREET | SINGAPORE | SG | RESTAURANT,3.50 SINGAPORE DOLLAR,'320242600076582409',SINGAPORE
2024-09-16,Amex Blue Sky,JOE & DOUGH FRASER SSINGAPORE           SG,-3.85,Restaurant-Bar & Café,JOE & DOUGH FRASER SSINGAPORE           SG,010840 RESTAURANT | JOE & DOUGH FRASER STREET | SINGAPORE | SG | RESTAURANT,5.00 SINGAPORE DOLLAR,'320242600076582230',SINGAPORE
2024-09-16,Amex Blue Sky,JOE & DOUGH FRASER SSINGAPORE           SG,-5.78,Restaurant-Bar & Café,JOE & DOUGH FRASER SSINGAPORE           SG,010825 RESTAURANT | JOE & DOUGH FRASER STREET | SINGAPORE | SG | RESTAURANT,7.50 SINGAPORE DOLLAR,'320242600076582123',SINGAPORE
