date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-04-30,Amex Blue Sky,AUTOPAY PAYMENT - THANK YOU,40,,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,'320241210457902517',
2024-04-30,Amex Blue Sky,RETURNED AUTOPAY (NOOGATORY),-40,Fees & Adjustments-Fees & Adjustments,RETURNED AUTOPAY (NOOGATORY),RETURNED AUTOPAY (NON-DEROGATORY) | OGATORY),,'320241240563321273',
2024-04-17,Amex Blue Sky,(JOO)TIMEONI        SEOUL,-5.93,Transportation-Taxis & Coach,(JOO)TIMEONI        SEOUL,TAXICAB & LIMOUSINE | (JOO)TIMEONI | SEOUL | TAXICAB & LIMOUSINE,8200.00 KOREAN (SOUTH) WON,'320241090177773784',"KOREA, REPUBLIC OF"
2024-04-17,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.16,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,(JOO)TIMEONI | $5.93 | FOREIGN TRANSACTION FEE,,'820241090177773784',
2024-04-16,Amex Blue Sky,(JOO)TIMEONI        SEOUL,-5.52,Transportation-Taxis & Coach,(JOO)TIMEONI        SEOUL,TAXICAB & LIMOUSINE | (JOO)TIMEONI | SEOUL | TAXICAB & LIMOUSINE,7700.00 KOREAN (SOUTH) WON,'320241080131768535',"KOREA, REPUBLIC OF"
2024-04-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.14,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,(JOO)TIMEONI | $5.52 | FOREIGN TRANSACTION FEE,,'820241080131768535',
2024-04-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-1.68,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,fresh brothers | $62.36 | FOREIGN TRANSACTION FEE,,'820241080131517573',
2024-04-16,Amex Blue Sky,fresh brothers      SEOUL,-62.36,Restaurant-Restaurant,fresh brothers      SEOUL,RESTAURANT | fresh brothers | SEOUL | RESTAURANT,87000.00 KOREAN (SOUTH) WON,'320241080131517573',"KOREA, REPUBLIC OF"
2024-04-14,Amex Blue Sky,(JOO)TIMEONI        SEOUL,-6.53,Transportation-Taxis & Coach,(JOO)TIMEONI        SEOUL,TAXICAB & LIMOUSINE | (JOO)TIMEONI | SEOUL | TAXICAB & LIMOUSINE,9000.00 KOREAN (SOUTH) WON,'320241060102852595',"KOREA, REPUBLIC OF"
2024-04-14,Amex Blue Sky,(JOO)TIMEONI        SEOUL,-9.22,Transportation-Taxis & Coach,(JOO)TIMEONI        SEOUL,TAXICAB & LIMOUSINE | (JOO)TIMEONI | SEOUL | TAXICAB & LIMOUSINE,12700.00 KOREAN (SOUTH) WON,'320241060103159766',"KOREA, REPUBLIC OF"
2024-04-14,Amex Blue Sky,(JOO)TIMEONI        SEOUL,-14.08,Transportation-Taxis & Coach,(JOO)TIMEONI        SEOUL,TAXICAB & LIMOUSINE | (JOO)TIMEONI | SEOUL | TAXICAB & LIMOUSINE,19400.00 KOREAN (SOUTH) WON,'320241060103115791',"KOREA, REPUBLIC OF"
2024-04-14,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.17,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,(JOO)TIMEONI | $6.53 | FOREIGN TRANSACTION FEE,,'820241060102852595',
2024-04-14,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.24,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,(JOO)TIMEONI | $9.22 | FOREIGN TRANSACTION FEE,,'820241060103159766',
2024-04-14,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.38,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,(JOO)TIMEONI | $14.08 | FOREIGN TRANSACTION FEE,,'820241060103115791',
2024-04-13,Amex Blue Sky,(JOO) KINGMATEU     SEOUL,-5.25,Merchandise & Supplies-Groceries,(JOO) KINGMATEU     SEOUL,GROCERY STORE | (JOO) KINGMATEU | SEOUL | GROCERY STORE,7230.00 KOREAN (SOUTH) WON,'320241050055915702',"KOREA, REPUBLIC OF"
