date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-05-16,Amex Blue Sky,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,-16.89,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,JQ0KKP6N 8005928996 | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | CA | 8005928996,15.54 EURO,'320241370875598793',NETHERLANDS
2024-05-16,Amex Blue Sky,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,-16.89,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,C461JKHQ 8005928996 | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | CA | 8005928996,15.54 EURO,'320241370878395291',NETHERLANDS
2024-05-16,Amex Blue Sky,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,-16.96,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,J70N9YD2 8005928996 | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | CA | 8005928996,15.60 EURO,'320241370875666291',NETHERLANDS
2024-05-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.45,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,AplPay UBER TRIP | $16.89 | FOREIGN TRANSACTION FEE,,'820241370875598793',
2024-05-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.45,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,AplPay UBER TRIP | $16.96 | FOREIGN TRANSACTION FEE,,'820241370875666291',
2024-05-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.45,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,AplPay UBER TRIP | $16.89 | FOREIGN TRANSACTION FEE,,'820241370878395291',
2024-05-15,Amex Blue Sky,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,-16.84,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,0072G9R8 8005928996 | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | CA | 8005928996,15.55 EURO,'320241360856795748',NETHERLANDS
2024-05-15,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.45,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,AplPay UBER TRIP | $16.84 | FOREIGN TRANSACTION FEE,,'820241360856795748',
2024-05-15,Amex Blue Sky,MOBILE PAYMENT - THANK YOU,122.96,,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,'320241360848510086',
2024-05-14,Amex Blue Sky,AplPay AIRALO       SINGAPORE           SG,-36,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_Q6ZSAB4G +6583029360 | AplPay AIRALO | SINGAPORE | SG | +6583029360,,'320241350830891871',SINGAPORE
2024-05-09,Amex Blue Sky,AGODA.COM YEOKSAM BALONDON              GB,-48.48,Travel-Travel Agencies,AGODA.COM YEOKSAM BALONDON              GB,######3X8N6 TRAVEL AGENCY | AGODA.COM YEOKSAM BA | LONDON | GB | TRAVEL AGENCY,,'320241330781640116',
2024-05-08,Amex Blue Sky,AGODA.COM MARAZUR AP                    GB,1592.44,Travel-Travel Agencies,AGODA.COM MARAZUR AP                    GB,AGODA.COM MARAZUR AP | GB,,'320241410979971385',
2024-05-08,Amex Blue Sky,AGODA.COM MARAZUR AP                    GB,1592.44,Travel-Travel Agencies,AGODA.COM MARAZUR AP                    GB,AGODA.COM MARAZUR AP | GB,,'320241580416425880',
2024-05-08,Amex Blue Sky,AGODA.COM MARAZUR AP                    GB,-1592.44,Travel-Travel Agencies,AGODA.COM MARAZUR AP                    GB,AGODA.COM MARAZUR AP | GB,,'320241560390630601',
2024-05-08,Amex Blue Sky,AGODA.COM MARAZUR APLONDON              GB,-1592.44,Travel-Travel Agencies,AGODA.COM MARAZUR APLONDON              GB,######3V0KR TRAVEL AGENCY | AGODA.COM MARAZUR AP | LONDON | GB | TRAVEL AGENCY,,'320241320764548220',
2024-05-07,Amex Blue Sky,CR ADJ FOR BILLING INQUIR,40,Fees & Adjustments-Fees & Adjustments,CR ADJ FOR BILLING INQUIR,CR ADJ FOR BILLING INQUIR,,'320241283640925855',
2024-05-07,Amex Blue Sky,EMIRATES AMERICAN EXUNITED STATES OF AME,-1435.6,Travel-Airline,EMIRATES AMERICAN EXUNITED STATES OF AME,050709 EMIRATES | AGENCY PASSENGER TICKET | EMIRATES AMERICAN EXPRES | UNITED STATES OF AMER | Carrier : EMIRATES | Passenger Name : PAVLOVCIK/ALEXANDER | Ticket Number : 1767069521035 | Departure Day : 05/13 | Additional Info : AGENCY PASSENGER TICKET | From : SEOUL INCHEON INTE | To : DUBAI | Class : X | From : DUBAI | To : NICE | Class : X | From : NICE | To : DUBAI | Class : X | From : DUBAI | To : SEOUL INCHEON INTE | Class : L,,'320241300704762309',UNITED STATES OF AMERICA (THE)
2024-05-07,Amex Blue Sky,Interest Charge on Purchases,-6.65,Fees & Adjustments-Fees & Adjustments,Interest Charge on Purchases,Interest Charge on Purchases,,'140508050000098556',
2024-05-07,Amex Blue Sky,ONLINE PAYMENT - THANK YOU,181.63,,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,'320241280640403433',
2024-05-26,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,-8.14,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,BPJX86RD 8005928996 | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | CA | 8005928996,7.50 EURO,'320241470141906381',NETHERLANDS
2024-05-26,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,-74.71,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,3N57ZXVP 8005928996 | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | CA | 8005928996,68.82 EURO,'320241470141907705',NETHERLANDS
2024-05-25,Amex Platinum,AplPay AIRALO       SINGAPORE           SG,-6.5,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_QAAYVZAF +6583029360 | AplPay AIRALO | SINGAPORE | SG | +6583029360,,'320241460125947599',SINGAPORE
2024-05-25,Amex Platinum,AplPay AIRALO       SINGAPORE           SG,-6.5,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_QAB1S6L2 +6583029360 | AplPay AIRALO | SINGAPORE | SG | +6583029360,,'320241460125947902',SINGAPORE
