date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-07-30,Amex Blue Sky,BABYLIST            OAKLAND             CA,882.8,Merchandise & Supplies-General Retail,BABYLIST            OAKLAND             CA,RE_3PI9FIBP 8888277856 | BABYLIST | OAKLAND | CA | 8888277856,,'320242130848511145',
2024-07-29,Amex Blue Sky,BABYLIST            OAKLAND             CA,-882.8,Merchandise & Supplies-General Retail,BABYLIST            OAKLAND             CA,NT_QZIG0DMN 8888277856 | BABYLIST | OAKLAND | CA | 8888277856,,'320242120833144675',
2024-07-18,Amex Platinum,APPLE.COM/BILL      INTERNET CHARGE     CA,-27.99,Merchandise & Supplies-Internet Purchase,APPLE.COM/BILL      INTERNET CHARGE     CA,MKB7DYMBS2A RECORD STORE | APPLE.COM/BILL | INTERNET CHARGE | CA | RECORD STORE,,'320242000509297231',
2024-07-14,Amex Platinum,APPLE.COM/BILL      INTERNET CHARGE     CA,84.99,Merchandise & Supplies-Internet Purchase,APPLE.COM/BILL      INTERNET CHARGE     CA,MKB7981QK6R RECORD STORE | APPLE.COM/BILL | INTERNET CHARGE | CA | RECORD STORE,,'320241960408085305',
2024-07-14,Amex Platinum,APPLE.COM/BILL      INTERNET CHARGE     CA,-21.69,Merchandise & Supplies-Internet Purchase,APPLE.COM/BILL      INTERNET CHARGE     CA,MKB7DY22YDA RECORD STORE | APPLE.COM/BILL | INTERNET CHARGE | CA | RECORD STORE,,'320241960407490737',
2024-07-11,Amex Platinum,AplPay AIRALO       SINGAPORE           SG,-13.53,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_QSIS8CVU +6583029360 | AplPay AIRALO | SINGAPORE | SG | +6583029360,,'320241930332538109',SINGAPORE
2024-07-08,Amex Platinum,AplPay AIRALO       SINGAPORE           SG,-16.5,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_QRBHAPJ6 +6583029360 | AplPay AIRALO | SINGAPORE | SG | +6583029360,,'320241900256081530',SINGAPORE
2024-07-04,Amex Platinum,AplPay AIRALO       SINGAPORE           SG,-13.15,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_QPETKPOU +6583029360 | AplPay AIRALO | SINGAPORE | SG | +6583029360,,'320241860162246249',SINGAPORE
2024-07-03,Amex Platinum,AplPay AIRALO       SINGAPORE           SG,-16.5,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_QPAFCB8J +6583029360 | AplPay AIRALO | SINGAPORE | SG | +6583029360,,'320241850142282548',SINGAPORE
2024-07-30,Chase Ink,DISEULLOUK DIBLAINDEU CHE,-51.46,Food & Drink,,,,,
2024-07-30,Chase Ink,JUSIGHOISA REACHAEMBEO,-137,Food & Drink,,,,,
2024-07-28,Chase Ink,JOYANG MART        755770,-727.87,Food & Drink,,,,,
2024-07-28,Chase Ink,(JOO)BONABI,-11.16,Food & Drink,,,,,
2024-07-26,Chase Ink,GS25 SAMSUNGHANWOOLJUM,-80.16,Merchandise & Inventory,,,,,
2024-07-27,Chase Ink,CHELSISEU HI BOL  7164843,-42.02,Food & Drink,,,,,
2024-07-25,Chase Ink,DEOIBSEU JOOSIKHOISA,-49.22,Food & Drink,,,,,
2024-07-25,Chase Ink,BA TI SENTEU,-59.36,Food & Drink,,,,,
2024-07-23,Chase Ink,BEUI LAUNJI HANNAM,-23.81,Food & Drink,,,,,
2024-07-24,Chase Ink,JUSIGHOISA REACHAEMBEO,-110.75,Food & Drink,,,,,
2024-07-23,Chase Ink,SOKO              4888875,-92.33,Food & Drink,,,,,
2024-07-22,Chase Ink,CATCH TABLE,-28.93,Merchandise & Inventory,,,,,
2024-07-21,Chase Ink,DEOIBSEU JOOSIKHOISA,-38.33,Food & Drink,,,,,
2024-07-22,Chase Ink,Payment Thank You - Web,363,,,,,,
2024-07-20,Chase Ink,JOOSIKHOISA PIIEL 9233515,-47.01,Food & Drink,,,,,
2024-07-20,Chase Ink,FOREST            8929814,-74.49,Food & Drink,,,,,
2024-07-20,Chase Ink,CO. LTD THE BOOJEU COMPAN,-60.37,Food & Drink,,,,,
2024-07-21,Chase Ink,PAINAENCO,-59.3,Food & Drink,,,,,
2024-07-20,Chase Ink,CIALROK,-72.74,Food & Drink,,,,,
2024-07-19,Chase Ink,QUEENSPAKCHUNGDAMJUM,-76.37,Food & Drink,,,,,
2024-07-19,Chase Ink,ZEST              5474517,-77.1,Food & Drink,,,,,
2024-07-16,Chase Ink,ALP*DIDI Taxi,-5.38,Miscellaneous,,,,,
2024-07-16,Chase Ink,SK TELECOM - AIRPORT ROAM,-104.08,Bills & Utilities,,,,,
2024-07-16,Chase Ink,ALIPAY,-36.91,Merchandise & Inventory,,,,,
2024-07-16,Chase Ink,THE LANGHAM SHANGHAI X,-420.71,Travel,,,,,
2024-07-16,Chase Ink,CHINA EASTERN AIRLINES,-147.34,Travel,,,,,
2024-07-16,Chase Ink,ALIPAY,-16.26,Entertainment,,,,,
2024-07-15,Chase Ink,ALP*shanghaishijinganq,-45.99,Merchandise & Inventory,,,,,
2024-07-14,Chase Ink,ALP*DIDI Taxi,-2.1,Miscellaneous,,,,,
2024-07-15,Chase Ink,ALIPAY,-136.41,Merchandise & Inventory,,,,,
2024-07-14,Chase Ink,ALP*yiyangshanghaicany,-1.65,Merchandise & Inventory,,,,,
2024-07-14,Chase Ink,ALP*shanghaiyounimaoyi,-26.6,Merchandise & Inventory,,,,,
2024-07-14,Chase Ink,ALP*DIDI Taxi,-2.34,Miscellaneous,,,,,
2024-07-15,Chase Ink,ALIPAY,-41.73,Merchandise & Inventory,,,,,
2024-07-14,Chase Ink,ALP*DIDI Taxi,-3.03,Miscellaneous,,,,,
2024-07-14,Chase Ink,ALIPAY,-40.31,Entertainment,,,,,
2024-07-13,Chase Ink,ALP*DIDI Taxi,-2.21,Miscellaneous,,,,,
2024-07-14,Chase Ink,ALIPAY,-0.28,Merchandise & Inventory,,,,,
2024-07-14,Chase Ink,ALIPAY,-8.13,Merchandise & Inventory,,,,,
2024-07-14,Chase Ink,ALIPAY,-4.82,Merchandise & Inventory,,,,,
2024-07-14,Chase Ink,ALIPAY,-5.51,Merchandise & Inventory,,,,,
2024-07-13,Chase Ink,ALP*heqinghelishanghai,-13.22,Merchandise & Inventory,,,,,
2024-07-14,Chase Ink,ALIPAY,-3.58,Merchandise & Inventory,,,,,
2024-07-13,Chase Ink,speaklow,-66.15,Food & Drink,,,,,
2024-07-14,Chase Ink,ALIPAY,-53.94,Merchandise & Inventory,,,,,
2024-07-14,Chase Ink,ALIPAY,-8.27,Merchandise & Inventory,,,,,
2024-07-13,Chase Ink,ALP*DIDI Taxi,-2.89,Miscellaneous,,,,,
2024-07-14,Chase Ink,ALIPAY,-4.41,Merchandise & Inventory,,,,,
2024-07-13,Chase Ink,ALP*DIDI Taxi,-2.34,Miscellaneous,,,,,
2024-07-13,Chase Ink,ALIPAY,-10.34,Merchandise & Inventory,,,,,
2024-07-13,Chase Ink,ALIPAY,-26.99,Merchandise & Inventory,,,,,
2024-07-13,Chase Ink,BI FENG TANG,-41.86,Food & Drink,,,,,
2024-07-13,Chase Ink,ALIPAY,-60.9,Merchandise & Inventory,,,,,
2024-07-12,Chase Ink,ALIPAY,-3.66,Merchandise & Inventory,,,,,
2024-07-11,Chase Ink,ALP*Starbucks,-10.72,Entertainment,,,,,
2024-07-13,Chase Ink,ALIPAY,-2.89,Merchandise & Inventory,,,,,
2024-07-12,Chase Ink,ALP*Family Mart,-7.33,Merchandise & Inventory,,,,,
2024-07-13,Chase Ink,ALIPAY,-3.44,Merchandise & Inventory,,,,,
2024-07-12,Chase Ink,ALIPAY,-106.39,Merchandise & Inventory,,,,,
2024-07-13,Chase Ink,ALIPAY,-4.98,Merchandise & Inventory,,,,,
2024-07-13,Chase Ink,ALIPAY,-2.34,Merchandise & Inventory,,,,,
2024-07-11,Chase Ink,ALIPAY,-2.2,Merchandise & Inventory,,,,,
2024-07-11,Chase Ink,ALIPAY,-17.6,Merchandise & Inventory,,,,,
2024-07-11,Chase Ink,ALIPAY,-1.99,Merchandise & Inventory,,,,,
2024-07-11,Chase Ink,ALIPAY,-17.32,Merchandise & Inventory,,,,,
2024-07-10,Chase Ink,ALP*shanghuwuchengyong,-6.88,Merchandise & Inventory,,,,,
2024-07-09,Chase Ink,ALP*DIDI Taxi,-2.48,Miscellaneous,,,,,
2024-07-10,Chase Ink,base city,-651.69,Travel,,,,,
2024-07-10,Chase Ink,ALIPAY,-94.4,Merchandise & Inventory,,,,,
