date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-01-30,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.12,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $4.60 | FOREIGN TRANSACTION FEE,,'820240310245125705',
2024-01-30,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.13,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $4.93 | FOREIGN TRANSACTION FEE,,'820240300224926072',
2024-01-30,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.13,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $5.00 | FOREIGN TRANSACTION FEE,,'820240300232417730',
2024-01-30,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-4.6,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,1KQJJJKH PV47RL3M | UBER TRIP | HTTPS://HELP.UBER.COM | PV47RL3M,6100.00 KOREAN (SOUTH) WON,'320240310245125705',NETHERLANDS
2024-01-30,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-4.93,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,92DMNFYD 4QFNAAFW | UBER TRIP | HTTPS://HELP.UBER.COM | 4QFNAAFW,6600.00 KOREAN (SOUTH) WON,'320240300224926072',NETHERLANDS
2024-01-30,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-5,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,3F4HEFBD FYU33KBT | UBER TRIP | HTTPS://HELP.UBER.COM | FYU33KBT,6700.00 KOREAN (SOUTH) WON,'320240300232417730',NETHERLANDS
2024-01-29,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.11,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $4.18 | FOREIGN TRANSACTION FEE,,'820240300235861763',
2024-01-29,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-4.18,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,CZ0256MT PHZXB2OB | UBER TRIP | HTTPS://HELP.UBER.COM | PHZXB2OB,5600.00 KOREAN (SOUTH) WON,'320240300235861763',NETHERLANDS
2024-01-28,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.11,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $4.41 | FOREIGN TRANSACTION FEE,,'820240280175699239',
2024-01-28,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.11,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $4.26 | FOREIGN TRANSACTION FEE,,'820240280187795183',
