date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-03-27,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.39,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $14.54 | FOREIGN TRANSACTION FEE,,'820240870611248891',
2024-03-27,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-14.54,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,21E8TJM8 P6CDUUM7 | UBER TRIP | HTTPS://HELP.UBER.COM | P6CDUUM7,19500.00 KOREAN (SOUTH) WON,'320240870611248891',NETHERLANDS
2024-03-25,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.19,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $7.24 | FOREIGN TRANSACTION FEE,,'820240850573860236',
2024-03-25,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.2,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $7.76 | FOREIGN TRANSACTION FEE,,'820240850572993159',
2024-03-25,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-7.24,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,18ZW1C88 XWUD5FBL | UBER TRIP | HTTPS://HELP.UBER.COM | XWUD5FBL,9700.00 KOREAN (SOUTH) WON,'320240850573860236',NETHERLANDS
2024-03-25,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-7.76,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,FCN3VCNH X6ZB2WVP | UBER TRIP | HTTPS://HELP.UBER.COM | X6ZB2WVP,10400.00 KOREAN (SOUTH) WON,'320240850572993159',NETHERLANDS
2024-03-23,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.05,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $2.09 | FOREIGN TRANSACTION FEE,,'820240830527167412',
2024-03-23,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.22,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $8.50 | FOREIGN TRANSACTION FEE,,'820240830527175483',
2024-03-23,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.26,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $9.92 | FOREIGN TRANSACTION FEE,,'820240830525114034',
2024-03-23,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-2.09,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,HK5S51H8 RTA6NFNK | UBER TRIP | HTTPS://HELP.UBER.COM | RTA6NFNK,2800.00 KOREAN (SOUTH) WON,'320240830527167412',NETHERLANDS
2024-03-23,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-8.5,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,AFW9AV2V GTUDVSTO | UBER TRIP | HTTPS://HELP.UBER.COM | GTUDVSTO,11400.00 KOREAN (SOUTH) WON,'320240830527175483',NETHERLANDS
2024-03-23,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-9.92,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,6A32RWDB YXYSZVA2 | UBER TRIP | HTTPS://HELP.UBER.COM | YXYSZVA2,13300.00 KOREAN (SOUTH) WON,'320240830525114034',NETHERLANDS
2024-03-21,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.21,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $7.83 | FOREIGN TRANSACTION FEE,,'820240810461193806',
2024-03-21,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-7.83,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,M46CM2R9 GP3IQPEE | UBER TRIP | HTTPS://HELP.UBER.COM | GP3IQPEE,10500.00 KOREAN (SOUTH) WON,'320240810461193806',NETHERLANDS
2024-03-19,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.15,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $5.70 | FOREIGN TRANSACTION FEE,,'820240790411983269',
2024-03-19,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.15,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $5.62 | FOREIGN TRANSACTION FEE,,'820240790415893303',
2024-03-19,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-5.62,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,3HS4AG2M GBUTXH47 | UBER TRIP | HTTPS://HELP.UBER.COM | GBUTXH47,7500.00 KOREAN (SOUTH) WON,'320240790415893303',NETHERLANDS
2024-03-19,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-5.7,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,AQY738YH LIWZ6YE6 | UBER TRIP | HTTPS://HELP.UBER.COM | LIWZ6YE6,7600.00 KOREAN (SOUTH) WON,'320240790411983269',NETHERLANDS
2024-03-18,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.1,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $4.05 | FOREIGN TRANSACTION FEE,,'820240790424752313',
2024-03-18,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-4.05,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,K3XW26FT 56VO2TKF | UBER TRIP | HTTPS://HELP.UBER.COM | 56VO2TKF,5400.00 KOREAN (SOUTH) WON,'320240790424752313',NETHERLANDS
2024-03-17,Amex Blue Sky,MOBILE PAYMENT - THANK YOU,435.49,,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,'320240770360415706',
2024-03-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.15,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $5.78 | FOREIGN TRANSACTION FEE,,'820240760339345485',
2024-03-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.19,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $7.14 | FOREIGN TRANSACTION FEE,,'820240760343884645',
2024-03-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.19,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $7.36 | FOREIGN TRANSACTION FEE,,'820240760343926160',
2024-03-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.22,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $8.41 | FOREIGN TRANSACTION FEE,,'820240760339955183',
2024-03-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.24,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $9.24 | FOREIGN TRANSACTION FEE,,'820240760340105091',
2024-03-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.26,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $9.99 | FOREIGN TRANSACTION FEE,,'820240770375839728',
2024-03-16,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-5.78,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,GPZXYPFS D2WIY5US | UBER TRIP | HTTPS://HELP.UBER.COM | D2WIY5US,7700.00 KOREAN (SOUTH) WON,'320240760339345485',NETHERLANDS
2024-03-16,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-7.14,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,M48GPP9V ZM4CUSYX | UBER TRIP | HTTPS://HELP.UBER.COM | ZM4CUSYX,9500.00 KOREAN (SOUTH) WON,'320240760343884645',NETHERLANDS
2024-03-16,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-7.36,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,5B4NZ0VX DRWM5BFG | UBER TRIP | HTTPS://HELP.UBER.COM | DRWM5BFG,9800.00 KOREAN (SOUTH) WON,'320240760343926160',NETHERLANDS
2024-03-16,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-8.41,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,5H56GNN6 EQ55KZC3 | UBER TRIP | HTTPS://HELP.UBER.COM | EQ55KZC3,11200.00 KOREAN (SOUTH) WON,'320240760339955183',NETHERLANDS
2024-03-16,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-9.24,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,H1JWQZDW BCX4N4CG | UBER TRIP | HTTPS://HELP.UBER.COM | BCX4N4CG,12300.00 KOREAN (SOUTH) WON,'320240760340105091',NETHERLANDS
2024-03-16,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-9.99,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,G11R9TZM ZYJQMEYV | UBER TRIP | HTTPS://HELP.UBER.COM | ZYJQMEYV,13300.00 KOREAN (SOUTH) WON,'320240770375839728',NETHERLANDS
2024-03-15,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.21,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $8.02 | FOREIGN TRANSACTION FEE,,'820240750324935044',
2024-03-15,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-8.02,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,9GY0DTPC 5UO7KKAL | UBER TRIP | HTTPS://HELP.UBER.COM | 5UO7KKAL,10600.00 KOREAN (SOUTH) WON,'320240750324935044',NETHERLANDS
2024-03-14,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.15,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $5.60 | FOREIGN TRANSACTION FEE,,'820240750324786469',
