Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
03/12/2025,ANTHROPIC           SAN FRANCISCO       CA,55.54,"CH_3R1RKQBJ +14152360599
ANTHROPIC
SAN FRANCISCO
CA
+14152360599",ANTHROPIC           SAN FRANCISCO       CA,731 SANSOME ST,"SAN FRANCISCO
CA",94111,UNITED STATES,'320250710733428341',Merchandise & Supplies-Computer Supplies
03/12/2025,ASIANA AIRLINE HANED*                   JP,27.40,"013 AIRLINE/AIR CARRIER
ASIANA AIRLINE HANEDAKUKO -OHTA-KU
*
JP
AIRLINE/AIR CARRIERForeign Spend Amount: 4060.00 JAPANESE YEN Commission Amount:  Currency Exchange Rate: null",ASIANA AIRLINE HANED*                   JP,"ncgÔcn eejh
ÎrjæhcÄc 3-4-4
ÄhÆbÉ]j-vo×Ïæ×ob
HANEDAKUKO",,144-0041,JAPAN,'320250720771883000',Travel-Airline
03/12/2025,ASIANA AIRLINE HANED*                   JP,276.47,"013 AIRLINE/AIR CARRIER
ASIANA AIRLINE HANEDAKUKO -OHTA-KU
*
JP
AIRLINE/AIR CARRIERForeign Spend Amount: 40970.00 JAPANESE YEN Commission Amount:  Currency Exchange Rate: null",ASIANA AIRLINE HANED*                   JP,"ncgÔcn eejh
ÎrjæhcÄc 3-4-4
ÄhÆbÉ]j-vo×Ïæ×ob
HANEDAKUKO",,144-0041,JAPAN,'320250720771907949',Travel-Airline
03/12/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,57.00,"N0YEEB55    HELP.UBER.COM
AplPay UBER TRIP
HTTPS://HELP.UBER.COM
AI
HELP.UBER.COMForeign Spend Amount: 8370.00 JAPANESE YEN Commission Amount:  Currency Exchange Rate: null",AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,"MR. TREUBLAAN 7
""AMSTERDAM, THE NETHERLANDS""",,1097 DP,NETHERLANDS,'320250710734804684',Transportation-Taxis & Coach
03/12/2025,HANEDA AIRPORT TERMI*                   JP,40.08,"041 MISC/SPECIALTY RETAIL
HANEDA AIRPORT TERMINAL   JAPAN
*
JP
MISC/SPECIALTY RETAILForeign Spend Amount: 5940.00 JAPANESE YEN Commission Amount:  Currency Exchange Rate: null",HANEDA AIRPORT TERMI*                   JP,"ncgÔcn eejh
ÎrjæhcÄc 3-3-2
HANEDAKUKO",,144-0041,JAPAN,'320250720771888765',Merchandise & Supplies-General Retail
03/12/2025,MOBILE PAYMENT - THANK YOU,-500.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320250710727431386',
03/12/2025,VERTU -CHIYODA-KU TO*                   JP,101.22,"002 LODGING
VERTU -CHIYODA-KU TOKYO JAPAN
*
JP
LODGINGForeign Spend Amount: 15000.00 JAPANESE YEN Commission Amount:  Currency Exchange Rate: null",VERTU -CHIYODA-KU TO*                   JP,"ncgÔcn kÔjæh
eemuk 1-2-1
OTE",,100-0004,JAPAN,'320250720770378935',Travel-Lodging
03/11/2025,COFFEE BAR K        TOKYO               JP,26.41,"412G1C02100 22729307800018
COFFEE BAR K
TOKYO
JP
22729307800018Foreign Spend Amount: 3872.00 JAPANESE YEN Commission Amount:  Currency Exchange Rate: null",COFFEE BAR K        TOKYO               JP,"""CAPITAN LOZANO, 37""
CHUO-KU",,24600,JAPAN,'320250700726246480',Restaurant-Bar & Café
03/11/2025,IIYO                TOKYO               JP,86.63,"417MXI99664 21811009600018
IIYO
TOKYO
JP
21811009600018Foreign Spend Amount: 12838.00 JAPANESE YEN Commission Amount:  Currency Exchange Rate: null",IIYO                TOKYO               JP,"BOGESVINGET 44
CO VIVI CHRISTOFFERSEN
CHIYODA-KU",,DK-2740,JAPAN,'320250720777969166',Merchandise & Supplies-General Retail
03/11/2025,MOBILE PAYMENT - THANK YOU,-500.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320250700701429633',
