Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
02/19/2025,AplPay 7-ELEVEN (112HONG KONG           HK,2.51,"025562      GROCERY STORE
02/19/2025,AplPay FOOD PANDA 52HK                  HK,29.93,"w9zr-2508-b 96192493
02/19/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COHK,8.53,"DKYETYHD    HELP.UBER.COM
02/19/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COHK,16.37,"P0BFD1QX    HELP.UBER.COM
02/19/2025,CHEEKY BUNS         CENTRAL             HK,24.68,"006706      FAST FOOD RESTAURANT
02/19/2025,FOREIGN TRANSACTION FEE,0.06,"AplPay 7-ELEVEN (1121)
02/19/2025,FOREIGN TRANSACTION FEE,0.23,"AplPay UBER TRIP
02/19/2025,FOREIGN TRANSACTION FEE,0.26,"HK CONVENTION & EXHIBITION CTR (MGT)
02/19/2025,FOREIGN TRANSACTION FEE,0.44,"AplPay UBER TRIP
02/19/2025,FOREIGN TRANSACTION FEE,0.66,"CHEEKY BUNS
02/19/2025,FOREIGN TRANSACTION FEE,0.80,"AplPay FOOD PANDA 521446
02/19/2025,FOREIGN TRANSACTION FEE,1.61,"HK CONVENTION & EXHIBITION CTR (MGT)
02/19/2025,HK CONVENTION & EXHIWANCHAI             HK,9.65,"009869      RESTAURANT
02/19/2025,HK CONVENTION & EXHIWANCHAI             HK,59.71,"005494      RESTAURANT
02/19/2025,MOBILE PAYMENT - THANK YOU,-1000.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320250500175685330',