Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
08/31/2024,FOREIGN TRANSACTION FEE,0.09,"kakaomobility
08/31/2024,FOREIGN TRANSACTION FEE,0.09,"kakaomobility
08/31/2024,FOREIGN TRANSACTION FEE,0.11,"KASAKOLONA
08/31/2024,FOREIGN TRANSACTION FEE,0.20,"kakaomobility
08/31/2024,FOREIGN TRANSACTION FEE,0.31,"KASAKOLONA
08/31/2024,FOREIGN TRANSACTION FEE,0.53,"KOLLI(COLEY)
08/31/2024,FOREIGN TRANSACTION FEE,0.79,"kakaomobility
08/31/2024,FOREIGN TRANSACTION FEE,1.00,"KASAKOLONA
08/31/2024,FOREIGN TRANSACTION FEE,2.12,"YEONGCHEONYEONGHOASIKYUKSIKDAN
08/31/2024,FOREIGN TRANSACTION FEE,5.35,"JOOSIKHOISA DISEUTEULIKTEU
08/31/2024,JOOSIKHOISA DISEUTEUSEOUL,198.40,"RESTAURANT
08/31/2024,KASAKOLONA          SEOUL,4.38,"RESTAURANT
08/31/2024,KASAKOLONA          SEOUL,11.67,"RESTAURANT
08/31/2024,KASAKOLONA          SEOUL,37.20,"RESTAURANT
08/31/2024,KOLLI(COLEY)        SEOUL,19.69,"RESTAURANT
08/31/2024,YEONGCHEONYEONGHOASISEOUL,78.77,"RESTAURANT
08/31/2024,kakaomobility       SEOUL,3.65,"MISC/SPECIALTY RETAIL
08/31/2024,kakaomobility       SEOUL,3.65,"MISC/SPECIALTY RETAIL
08/31/2024,kakaomobility       SEOUL,7.51,"MISC/SPECIALTY RETAIL
08/31/2024,kakaomobility       SEOUL,29.54,"MISC/SPECIALTY RETAIL
