Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
01/29/2025,FOREIGN TRANSACTION FEE,2.26,"Mimichan Co., Ltd.
$83.84
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250300664003685',Fees & Adjustments-Fees & Adjustments
01/29/2025,"Mimichan Co., Ltd.  SEOUL",83.84,"RESTAURANT
Mimichan Co., Ltd.
SEOUL
RESTAURANTForeign Spend Amount: 120000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null","Mimichan Co., Ltd.  SEOUL","SEOULGANGNAM-GU
""NONHYEONLO87GIL 41, 1CHEUNG 109HO (YEO""
SEOUL",,06235,"KOREA, REPUBLIC OF",'320250300664003685',Restaurant-Restaurant
01/28/2025,FOREIGN TRANSACTION FEE,2.71,"HAIDILAOKOLIA(YU)GEONDAIJIJEOM
$100.40
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250290638031772',Fees & Adjustments-Fees & Adjustments
01/28/2025,HAIDILAOKOLIA(YU)GEOSEOUL,100.40,"RESTAURANT
HAIDILAOKOLIA(YU)GEONDAIJIJEOM
SEOUL
RESTAURANTForeign Spend Amount: 143700.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",HAIDILAOKOLIA(YU)GEOSEOUL,"SEOULGWANGJIN-GU
""NEUNGDONGLO 110, SEUTASITIYEONGJON ADO""
SEOUL",,05030,"KOREA, REPUBLIC OF",'320250290638031772',Restaurant-Restaurant
01/27/2025,FOREIGN TRANSACTION FEE,2.82,"KACHEULOUK
$104.80
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250280610929735',Fees & Adjustments-Fees & Adjustments
01/27/2025,KACHEULOUK          SEOUL,104.80,"RESTAURANT
KACHEULOUK
SEOUL
RESTAURANTForeign Spend Amount: 150000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",KACHEULOUK          SEOUL,"SEOULGANGNAM-GU
""SAMSEONGLO147GIL 8, (CHEONGDAMDONG)""
SEOUL",,06063,"KOREA, REPUBLIC OF",'320250280610929735',Restaurant-Restaurant
01/26/2025,FOREIGN TRANSACTION FEE,0.45,"KIEZ
$16.77
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250270587028034',Fees & Adjustments-Fees & Adjustments
01/26/2025,FOREIGN TRANSACTION FEE,0.90,"KIEZ
$33.54
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250270586565398',Fees & Adjustments-Fees & Adjustments
01/26/2025,KIEZ                SEOUL,16.77,"RESTAURANT
KIEZ
SEOUL
RESTAURANTForeign Spend Amount: 24000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",KIEZ                SEOUL,"SEOULGANGNAM-GU
""DOSANDAILO55GIL 45, JIHA1CHEUNG (CHEON""
SEOUL",,06014,"KOREA, REPUBLIC OF",'320250270587028034',Restaurant-Restaurant
01/26/2025,KIEZ                SEOUL,33.54,"RESTAURANT
KIEZ
SEOUL
RESTAURANTForeign Spend Amount: 48000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",KIEZ                SEOUL,"SEOULGANGNAM-GU
""DOSANDAILO55GIL 45, JIHA1CHEUNG (CHEON""
SEOUL",,06014,"KOREA, REPUBLIC OF",'320250270586565398',Restaurant-Restaurant
