Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
11/29/2024,AplPay BYTESIM LIMITADMIRALTY           HK,21.51,"NT_RIZNXXBU +85292437776
AplPay BYTESIM LIMITED
ADMIRALTY
HK
+85292437776",AplPay BYTESIM LIMITADMIRALTY           HK,"""ROOM 1D, 2/F, FU TAO BUILDING,98 ARGYLE""
JIU LONG",,,HONG KONG,'320243340035137385',Travel-Travel Agencies
11/27/2024,FOREIGN TRANSACTION FEE,4.61,"Hobin
$171.08
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243330001158575',Fees & Adjustments-Fees & Adjustments
11/27/2024,Hobin               SEOUL,171.08,"RESTAURANT
Hobin
SEOUL
RESTAURANTForeign Spend Amount: 239000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",Hobin               SEOUL,"SEOULGANGNAM-GU
""HAKDONGLO4GIL 43, JISANG 1CHEUNG (NONH""
SEOUL",,06114,"KOREA, REPUBLIC OF",'320243330001158575',Restaurant-Restaurant
11/26/2024,(JOO)SAIBYEOKJIB    SEOUL,5.01,"RESTAURANT
(JOO)SAIBYEOKJIB
SEOUL
RESTAURANTForeign Spend Amount: 7000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",(JOO)SAIBYEOKJIB    SEOUL,"SEOULGANGNAM-GU
""DOSANDAILO101GIL  6,(CHEONGDAMDONG)""
SEOUL",,06013,"KOREA, REPUBLIC OF",'320243320971138114',Restaurant-Restaurant
11/26/2024,(JOO)SAIBYEOKJIB    SEOUL,159.49,"RESTAURANT
(JOO)SAIBYEOKJIB
SEOUL
RESTAURANTForeign Spend Amount: 223000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",(JOO)SAIBYEOKJIB    SEOUL,"SEOULGANGNAM-GU
""DOSANDAILO101GIL  6,(CHEONGDAMDONG)""
SEOUL",,06013,"KOREA, REPUBLIC OF",'320243320971138059',Restaurant-Restaurant
11/26/2024,BA TI SENTEU        SEOUL,334.72,"RESTAURANT
BA TI SENTEU
SEOUL
RESTAURANTForeign Spend Amount: 468000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",BA TI SENTEU        SEOUL,"SEOULGANGNAM-GU
""SEONLEUNGLO162GIL 16, 1CHEUNG (CHEONGD""
SEOUL",,06014,"KOREA, REPUBLIC OF",'320243320971136260',Restaurant-Restaurant
11/26/2024,FOREIGN TRANSACTION FEE,0.13,"(JOO)SAIBYEOKJIB
$5.01
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243320971138114',Fees & Adjustments-Fees & Adjustments
11/26/2024,FOREIGN TRANSACTION FEE,2.31,"TANSANBA(Carboric Bar)
$85.82
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243320971183801',Fees & Adjustments-Fees & Adjustments
11/26/2024,FOREIGN TRANSACTION FEE,4.30,"(JOO)SAIBYEOKJIB
$159.49
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243320971138059',Fees & Adjustments-Fees & Adjustments
11/26/2024,FOREIGN TRANSACTION FEE,9.03,"BA TI SENTEU
$334.72
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243320971136260',Fees & Adjustments-Fees & Adjustments
11/26/2024,TANSANBA(Carboric BaSEOUL,85.82,"RESTAURANT
TANSANBA(Carboric Bar)
SEOUL
RESTAURANTForeign Spend Amount: 120000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",TANSANBA(Carboric BaSEOUL,"SEOULYONGSAN-GU
""ITAEUEONLO49GIL 24-8, JI1CHEUNG, 1CHEU""
SEOUL",,04348,"KOREA, REPUBLIC OF",'320243320971183801',Restaurant-Restaurant
11/25/2024,Conte de tulear     SEOUL,55.98,"RESTAURANT
Conte de tulear
SEOUL
RESTAURANTForeign Spend Amount: 78500.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",Conte de tulear     SEOUL,"SEOULGANGNAM-GU
""DOSANDAILO49GIL 39, 1CHEUNG (SINSADONG""
SEOUL",,06020,"KOREA, REPUBLIC OF",'320243310942692212',Restaurant-Restaurant
11/25/2024,FOREIGN TRANSACTION FEE,0.08,"Hanwha Galleria
$3.21
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243310941712542',Fees & Adjustments-Fees & Adjustments
11/25/2024,FOREIGN TRANSACTION FEE,0.44,"TUATUA(TOUR A TOUR)
$16.47
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243310942691228',Fees & Adjustments-Fees & Adjustments
11/25/2024,FOREIGN TRANSACTION FEE,1.51,"Conte de tulear
$55.98
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243310942692212',Fees & Adjustments-Fees & Adjustments
11/25/2024,Hanwha Galleria     SEOUL,3.21,"DEPARTMENT STORE
Hanwha Galleria
SEOUL
DEPARTMENT STOREForeign Spend Amount: 4500.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",Hanwha Galleria     SEOUL,"SEOULGANGNAM-GU
""ABGOOJEONGLO 343, (ABGOOJEONGDONG, GAE""
SEOUL",,06008,"KOREA, REPUBLIC OF",'320243310941712542',Merchandise & Supplies-Department Stores
11/25/2024,TUATUA(TOUR A TOUR) SEOUL,16.47,"RESTAURANT
TUATUA(TOUR A TOUR)
SEOUL
RESTAURANTForeign Spend Amount: 23100.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",TUATUA(TOUR A TOUR) SEOUL,"SEOULGANGNAM-GU
""ABGOOJEONGLO48GIL 34, 1CHEUNG (SINSADO""
SEOUL",,06017,"KOREA, REPUBLIC OF",'320243310942691228',Restaurant-Restaurant
11/24/2024,FOREIGN TRANSACTION FEE,0.30,"PEULAIKCHEO JOOSIKHOISA
$11.41
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243300914814429',Fees & Adjustments-Fees & Adjustments
11/24/2024,FOREIGN TRANSACTION FEE,2.25,"JEOISEUTEU(ZEST)
$83.46
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243300914816463',Fees & Adjustments-Fees & Adjustments
11/24/2024,FOREIGN TRANSACTION FEE,2.82,"PAINAENKO
$104.51
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820243300915815710',Fees & Adjustments-Fees & Adjustments
