Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
08/31/2024,FOREIGN TRANSACTION FEE,0.09,"kakaomobility
$3.65
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242460715085291',Fees & Adjustments-Fees & Adjustments
08/31/2024,FOREIGN TRANSACTION FEE,0.09,"kakaomobility
$3.65
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242460716873951',Fees & Adjustments-Fees & Adjustments
08/31/2024,FOREIGN TRANSACTION FEE,0.11,"KASAKOLONA
$4.38
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242450677027164',Fees & Adjustments-Fees & Adjustments
08/31/2024,FOREIGN TRANSACTION FEE,0.20,"kakaomobility
$7.51
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242460715087438',Fees & Adjustments-Fees & Adjustments
08/31/2024,FOREIGN TRANSACTION FEE,0.31,"KASAKOLONA
$11.67
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242450677027309',Fees & Adjustments-Fees & Adjustments
08/31/2024,FOREIGN TRANSACTION FEE,0.53,"KOLLI(COLEY)
$19.69
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242450676170742',Fees & Adjustments-Fees & Adjustments
08/31/2024,FOREIGN TRANSACTION FEE,0.79,"kakaomobility
$29.54
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242460716874806',Fees & Adjustments-Fees & Adjustments
08/31/2024,FOREIGN TRANSACTION FEE,1.00,"KASAKOLONA
$37.20
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242450677027839',Fees & Adjustments-Fees & Adjustments
08/31/2024,FOREIGN TRANSACTION FEE,2.12,"YEONGCHEONYEONGHOASIKYUKSIKDAN
$78.77
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242450677034561',Fees & Adjustments-Fees & Adjustments
08/31/2024,FOREIGN TRANSACTION FEE,5.35,"JOOSIKHOISA DISEUTEULIKTEU
$198.40
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242450677029886',Fees & Adjustments-Fees & Adjustments
08/31/2024,JOOSIKHOISA DISEUTEUSEOUL,198.40,"RESTAURANT
JOOSIKHOISA DISEUTEULIKTEU
SEOUL
RESTAURANTForeign Spend Amount: 272000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",JOOSIKHOISA DISEUTEUSEOUL,"SEOULYONGSAN-GU
""ITAEUEONLO27GAGIL 26, HAEMILTEUNHOTELB""
SEOUL",,04350,"KOREA, REPUBLIC OF",'320242450677029886',Restaurant-Restaurant
08/31/2024,KASAKOLONA          SEOUL,4.38,"RESTAURANT
KASAKOLONA
SEOUL
RESTAURANTForeign Spend Amount: 6000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",KASAKOLONA          SEOUL,"SEOULYONGSAN-GU
""BOGOANGLO60GIL 7, (ITAEUEONDONG) 4CHEU""
SEOUL",,04406,"KOREA, REPUBLIC OF",'320242450677027164',Restaurant-Restaurant
08/31/2024,KASAKOLONA          SEOUL,11.67,"RESTAURANT
KASAKOLONA
SEOUL
RESTAURANTForeign Spend Amount: 16000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",KASAKOLONA          SEOUL,"SEOULYONGSAN-GU
""BOGOANGLO60GIL 7, (ITAEUEONDONG) 4CHEU""
SEOUL",,04406,"KOREA, REPUBLIC OF",'320242450677027309',Restaurant-Restaurant
08/31/2024,KASAKOLONA          SEOUL,37.20,"RESTAURANT
KASAKOLONA
SEOUL
RESTAURANTForeign Spend Amount: 51000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",KASAKOLONA          SEOUL,"SEOULYONGSAN-GU
""BOGOANGLO60GIL 7, (ITAEUEONDONG) 4CHEU""
SEOUL",,04406,"KOREA, REPUBLIC OF",'320242450677027839',Restaurant-Restaurant
08/31/2024,KOLLI(COLEY)        SEOUL,19.69,"RESTAURANT
KOLLI(COLEY)
SEOUL
RESTAURANTForeign Spend Amount: 27000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",KOLLI(COLEY)        SEOUL,"SEOULYONGSAN-GU
""NOKSAPYEONGDAILO 214, 1CHEUNG UKCHEUK""
SEOUL",,04345,"KOREA, REPUBLIC OF",'320242450676170742',Restaurant-Restaurant
08/31/2024,YEONGCHEONYEONGHOASISEOUL,78.77,"RESTAURANT
YEONGCHEONYEONGHOASIKYUKSIKDAN
SEOUL
RESTAURANTForeign Spend Amount: 108000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",YEONGCHEONYEONGHOASISEOUL,"SEOULGANGNAM-GU
""DOSANDAILO90GIL  3,  1CHEUNG    2CHEUN""
SEOUL",,06070,"KOREA, REPUBLIC OF",'320242450677034561',Restaurant-Restaurant
08/31/2024,kakaomobility       SEOUL,3.65,"MISC/SPECIALTY RETAIL
kakaomobility
SEOUL
MISC/SPECIALTY RETAILForeign Spend Amount: 5000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",kakaomobility       SEOUL,"111 DIJITEOLRO26GIL GUROGU SEOUL
""(GURODONG, JEIAEAKEIDIJITEOLTAUEO)""
SEOUL TEUGBYEOLSI",,08390,"KOREA, REPUBLIC OF",'320242460715085291',Merchandise & Supplies-General Retail
08/31/2024,kakaomobility       SEOUL,3.65,"MISC/SPECIALTY RETAIL
kakaomobility
SEOUL
MISC/SPECIALTY RETAILForeign Spend Amount: 5000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",kakaomobility       SEOUL,"111 DIJITEOLRO26GIL GUROGU SEOUL
""(GURODONG, JEIAEAKEIDIJITEOLTAUEO)""
SEOUL TEUGBYEOLSI",,08390,"KOREA, REPUBLIC OF",'320242460716873951',Merchandise & Supplies-General Retail
08/31/2024,kakaomobility       SEOUL,7.51,"MISC/SPECIALTY RETAIL
kakaomobility
SEOUL
MISC/SPECIALTY RETAILForeign Spend Amount: 10300.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",kakaomobility       SEOUL,"111 DIJITEOLRO26GIL GUROGU SEOUL
""(GURODONG, JEIAEAKEIDIJITEOLTAUEO)""
SEOUL TEUGBYEOLSI",,08390,"KOREA, REPUBLIC OF",'320242460715087438',Merchandise & Supplies-General Retail
08/31/2024,kakaomobility       SEOUL,29.54,"MISC/SPECIALTY RETAIL
kakaomobility
SEOUL
MISC/SPECIALTY RETAILForeign Spend Amount: 40500.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",kakaomobility       SEOUL,"111 DIJITEOLRO26GIL GUROGU SEOUL
""(GURODONG, JEIAEAKEIDIJITEOLTAUEO)""
SEOUL TEUGBYEOLSI",,08390,"KOREA, REPUBLIC OF",'320242460716874806',Merchandise & Supplies-General Retail
08/30/2024,(JOO)TIMEONI        SEOUL,7.66,"TAXICAB & LIMOUSINE
(JOO)TIMEONI
SEOUL
TAXICAB & LIMOUSINEForeign Spend Amount: 10500.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",(JOO)TIMEONI        SEOUL,"SEOULJUNG-GU
""HOOAMLO 110, 15CHEUNG (NAMDAIMOONLO5GA""
SEOUL",,04637,"KOREA, REPUBLIC OF",'320242460701046428',Transportation-Taxis & Coach
08/30/2024,DALMAIKSYUPEO       SEOUL,12.04,"GROCERY STORE
DALMAIKSYUPEO
SEOUL
GROCERY STOREForeign Spend Amount: 16500.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",DALMAIKSYUPEO       SEOUL,"SEOULYONGSAN-GU
""NOKSAPYEONGDAILO54GIL 7, 1CHEUNG (ITAE""
SEOUL",,04343,"KOREA, REPUBLIC OF",'320242440652775971',Merchandise & Supplies-Groceries
08/30/2024,DEOBOOSSEU GYEONGLIDSEOUL,16.41,"RESTAURANT
DEOBOOSSEU GYEONGLIDANJEOM
SEOUL
RESTAURANTForeign Spend Amount: 22500.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",DEOBOOSSEU GYEONGLIDSEOUL,"SEOULYONGSAN-GU
""NOKSAPYEONGDAILO54GIL 7, 1CHEUNG (ITAE""
SEOUL",,04343,"KOREA, REPUBLIC OF",'320242440652776421',Restaurant-Restaurant
08/30/2024,FOREIGN TRANSACTION FEE,0.03,"JIESEU25YOINGSANGYEONGLIDANJEOM
$1.46
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242440652076834',Fees & Adjustments-Fees & Adjustments
08/30/2024,FOREIGN TRANSACTION FEE,0.04,"GS25SAMSEONGHANULJEOM
$1.60
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242440652056011',Fees & Adjustments-Fees & Adjustments
08/30/2024,FOREIGN TRANSACTION FEE,0.05,"kakaomobility
$2.19
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242460716862864',Fees & Adjustments-Fees & Adjustments
08/30/2024,FOREIGN TRANSACTION FEE,0.20,"(JOO)TIMEONI
$7.66
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242460701046428',Fees & Adjustments-Fees & Adjustments
08/30/2024,FOREIGN TRANSACTION FEE,0.22,"GS25SAMSEONGHANULJEOM
$8.39
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242440652055991',Fees & Adjustments-Fees & Adjustments
08/30/2024,FOREIGN TRANSACTION FEE,0.24,"kakaomobility
$9.12
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242460716862861',Fees & Adjustments-Fees & Adjustments
