Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
08/25/2024,AplPay SCK COMPANY  SEOUL,3.06,"RESTAURANT
AplPay SCK COMPANY
SEOUL
RESTAURANTForeign Spend Amount: 4200.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",AplPay SCK COMPANY  SEOUL,"SEOULJUNG-GU
""TOIGYEOILO 100, 8 10CHEUNG (HOIHYEONDO""
SEOUL",,04631,"KOREA, REPUBLIC OF",'320242390521925760',Restaurant-Restaurant
08/20/2024,AplPay KOREA7       SEOUL,13.49,"MISC/SPECIALTY RETAIL
AplPay KOREA7
SEOUL
MISC/SPECIALTY RETAILForeign Spend Amount: 18500.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",AplPay KOREA7       SEOUL,"SEOULGANGNAM-GU
""SAMSEONGLO115GIL  46,(SAMSEONG2DONG)""
SEOUL",,06094,"KOREA, REPUBLIC OF",'320242340391750019',Merchandise & Supplies-General Retail
08/20/2024,AplPay Olive Young  SEOUL,28.15,"COSMETIC STORE
AplPay Olive Young
SEOUL
COSMETIC STOREForeign Spend Amount: 38600.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",AplPay Olive Young  SEOUL,"SEOULGANGNAM-GU
""BONGEUNSALO 465, 1CHEUNG ILBOOMIT CHAN""
SEOUL",,06096,"KOREA, REPUBLIC OF",'320242350415792937',Merchandise & Supplies-Department Stores
08/20/2024,ONLINE PAYMENT - THANK YOU,-40.00,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320242330364683456',
08/14/2024,APPLE.COM/BILL      INTERNET CHARGE     CA,21.69,"MKB7HKFGSDA RECORD STORE
APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",APPLE.COM/BILL      INTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,'320242270210055960',Merchandise & Supplies-Internet Purchase
08/14/2024,APPLE.COM/BILL      INTERNET CHARGE     CA,27.99,"MKB7HK77V3A RECORD STORE
APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",APPLE.COM/BILL      INTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,'320242270209975603',Merchandise & Supplies-Internet Purchase
08/12/2024,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,13.11,"B41RVK0E    HELP.UBER.COM
AplPay UBER TRIP
HTTPS://HELP.UBER.COM
TW
HELP.UBER.COMForeign Spend Amount: 424.00 NEW TAIWAN DOLLAR Commission Amount:  Currency Exchange Rate: null",AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,"MR. TREUBLAAN 7
""AMSTERDAM, THE NETHERLANDS""",,1097 DP,NETHERLANDS,'320242250174354178',Transportation-Taxis & Coach
08/11/2024,AplPay UBER EATS    HTTPS://HELP.UBER.COTW,28.59,"AYM5401Y    8005928996
AplPay UBER EATS
HTTPS://HELP.UBER.COM
TW
8005928996Foreign Spend Amount: 925.00 NEW TAIWAN DOLLAR Commission Amount:  Currency Exchange Rate: null",AplPay UBER EATS    HTTPS://HELP.UBER.COTW,"BURGERWEESHUISPAD 301
""AMSTERDAM, THE NETHERLANDS""",,1076 HR,NETHERLANDS,'320242240136277452',Restaurant-Restaurant
08/11/2024,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,3.93,"075A927B    HELP.UBER.COM
AplPay UBER TRIP
HTTPS://HELP.UBER.COM
TW
HELP.UBER.COMForeign Spend Amount: 127.00 NEW TAIWAN DOLLAR Commission Amount:  Currency Exchange Rate: null",AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,"MR. TREUBLAAN 7
""AMSTERDAM, THE NETHERLANDS""",,1097 DP,NETHERLANDS,'320242240137416072',Transportation-Taxis & Coach
08/11/2024,AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,11.93,"GWV1NKH2    HELP.UBER.COM
AplPay UBER TRIP
HTTPS://HELP.UBER.COM
TW
HELP.UBER.COMForeign Spend Amount: 386.00 NEW TAIWAN DOLLAR Commission Amount:  Currency Exchange Rate: null",AplPay UBER TRIP    HTTPS://HELP.UBER.COTW,"MR. TREUBLAAN 7
""AMSTERDAM, THE NETHERLANDS""",,1097 DP,NETHERLANDS,'320242240136269070',Transportation-Taxis & Coach
