Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
09/28/2024,BOODCHEOSEUKEOD SAMSSEOUL,210.97,"RESTAURANT
BOODCHEOSEUKEOD SAMSEONGJEOM
SEOUL
RESTAURANTForeign Spend Amount: 278000.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",BOODCHEOSEUKEOD SAMSSEOUL,"SINHARI    555
BUBAL-EUP
ICHEON-CITY
KYUNGK",,467860,"KOREA, REPUBLIC OF",'320242730403422067',Transportation-Auto Services
09/27/2024,GANGNAMDEOEUIUEON   SEOUL,104.29,"HOSPITAL
GANGNAMDEOEUIUEON
SEOUL
HOSPITALForeign Spend Amount: 137420.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",GANGNAMDEOEUIUEON   SEOUL,"SEOULGANGNAM-GU
""HAKDONGLO 342, (NONHYEONDONG,ESEUKEI H""
SEOUL",,06099,"KOREA, REPUBLIC OF",'320242720377233382',Business Services-Health Care Services
09/27/2024,UEOILPAMYAKGOOK     SEOUL,18.71,"DRUG STORE/PHARMACY
UEOILPAMYAKGOOK
SEOUL
DRUG STORE/PHARMACYForeign Spend Amount: 24660.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",UEOILPAMYAKGOOK     SEOUL,"SEOULGANGNAM-GU
""HAKDONGLO  342,407HO  ,    SKHEOBEUBEU""
SEOUL",,06099,"KOREA, REPUBLIC OF",'320242720377234480',Merchandise & Supplies-Pharmacies
09/16/2024,AMAZON.COM          AMZN.COM/BILL       WA,55.08,"26LK7KMJPEJ MERCHANDISE
AMAZON.COM
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON.COM          AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320242620126351107',Merchandise & Supplies-Internet Purchase
09/15/2024,AplPay (JOO)KEOPIBININCHEON,4.11,"RESTAURANT
AplPay (JOO)KEOPIBINKOLIAINCHEONGONGHANGTA
INCHEON
RESTAURANTForeign Spend Amount: 5500.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",AplPay (JOO)KEOPIBININCHEON,"INCHEONJUNG-GU
""GONGHANGLO 272, 3CHEUNG FB-C 5-68 (UNS""
INCHEON",,22382,"KOREA, REPUBLIC OF",'320242600066248246',Restaurant-Restaurant
09/15/2024,AplPay AIRALO       SINGAPORE           SG,9.53,"NT_QQXHKZWE +6583029360
AplPay AIRALO
SINGAPORE
SG
+6583029360",AplPay AIRALO       SINGAPORE           SG,"79 ANSON ROAD
SINGAPORE",,079906,SINGAPORE,'320242590053239440',Business Services-Internet Services
09/14/2024,APPLE.COM/BILL      INTERNET CHARGE     CA,21.69,"MKB7L5N9F0A RECORD STORE
APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",APPLE.COM/BILL      INTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,'320242580020298787',Merchandise & Supplies-Internet Purchase
09/14/2024,APPLE.COM/BILL      INTERNET CHARGE     CA,27.99,"MKB7L5GMKSA RECORD STORE
APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",APPLE.COM/BILL      INTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,'320242580020206195',Merchandise & Supplies-Internet Purchase
09/10/2024,AplPay POLBASED GANGSEOUL,8.52,"RESTAURANT
AplPay POLBASED GANGNAMGOOCHEONGYEOKJEOM
SEOUL
RESTAURANTForeign Spend Amount: 11400.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",AplPay POLBASED GANGSEOUL,"SEOULGANGNAM-GU
""HAKDONGLO 401, 1CHEUNG (CHEONGDAMDONG)""
SEOUL",,06069,"KOREA, REPUBLIC OF",'320242550957500085',Restaurant-Restaurant
09/06/2024,Interest Charge on Pay Over Time Purchases,54.01,Interest Charge on Pay Over Time Purchases,Interest Charge on Pay Over Time Purchases,,,,,'140907100000334067',Fees & Adjustments-Fees & Adjustments
