Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
09/30/2024,AUTOPAY PAYMENT - THANK YOU,-214.71,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320242740426442454',
09/22/2024,(JOO)TIMEONI        SEOUL,53.95,"TAXICAB & LIMOUSINE
(JOO)TIMEONI
SEOUL
TAXICAB & LIMOUSINEForeign Spend Amount: 71700.00 KOREAN (SOUTH) WON Commission Amount:  Currency Exchange Rate: null",(JOO)TIMEONI        SEOUL,"SEOULJUNG-GU
""HOOAMLO 110, 15CHEUNG (NAMDAIMOONLO5GA""
SEOUL",,04637,"KOREA, REPUBLIC OF",'320242670249782102',Transportation-Taxis & Coach
09/22/2024,7-ELEVEN T3 #03-12  SINGAPORE           SG,5.34,"052621      GROCERY STORE
7-ELEVEN T3 #03-12
SINGAPORE
SG
Foreign Spend Amount: 6.88 SINGAPORE DOLLAR Commission Amount:  Currency Exchange Rate: null",7-ELEVEN T3 #03-12  SINGAPORE           SG,"65 AIRPORT BOULEVARD
SINGAPORE CHANGI AIRPORT T3
#03-12 MEZZANINE LEVEL
DEPARTURE TRANSIT LOUNGE NORTH
SINGAPORE",,819663,SINGAPORE,'320242650197418996',Merchandise & Supplies-Groceries
09/22/2024,BURGER KING SINGAPORSINGAPORE           SG,8.22,"2790862880  92283429
BURGER KING SINGAPORE PTE LTD-B5605 04
SINGAPORE
SG
92283429Foreign Spend Amount: 10.60 SINGAPORE DOLLAR Commission Amount:  Currency Exchange Rate: null",BURGER KING SINGAPORSINGAPORE           SG,"T3 DEPARTURE/TRANSIT LOUNGE NORTH
#L03AF11 SINGAPORE CHANGI AIRPORT
MEZZANINE LEVEL 65 AIRPORT BOULEVARD
SINGAPORE",,819663,SINGAPORE,'320242660229212974',Restaurant-Bar & Café
09/22/2024,FOREIGN TRANSACTION FEE,0.14,"7-ELEVEN T3 #03-12
$5.34
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242650197418996',Fees & Adjustments-Fees & Adjustments
09/22/2024,FOREIGN TRANSACTION FEE,0.22,"BURGER KING SINGAPORE PTE LTD-B5605 04
$8.22
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242660229212974',Fees & Adjustments-Fees & Adjustments
09/22/2024,FOREIGN TRANSACTION FEE,0.31,"HUDSONS CAFE - T3
$11.64
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242660226941523',Fees & Adjustments-Fees & Adjustments
09/22/2024,FOREIGN TRANSACTION FEE,1.45,"(JOO)TIMEONI
$53.95
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242670249782102',Fees & Adjustments-Fees & Adjustments
09/22/2024,FOREIGN TRANSACTION FEE,2.36,"THE KITCHEN BY WOLFGANG PUCK
$87.43
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242650199486243',Fees & Adjustments-Fees & Adjustments
09/22/2024,HUDSONS CAFE - T3   SINGAPORE           SG,11.64,"036032      BAR/NIGHTCLUB
HUDSONS CAFE - T3
SINGAPORE
SG
BAR/NIGHTCLUBForeign Spend Amount: 15.00 SINGAPORE DOLLAR Commission Amount:  Currency Exchange Rate: null",HUDSONS CAFE - T3   SINGAPORE           SG,"65 AIRPORT BOULEVARD
#02-60 CHANGI AIRPORT TERMINAL 3
SINGAPORE",,819663,SINGAPORE,'320242660226941523',Restaurant-Restaurant
09/22/2024,THE KITCHEN BY WOLFGSINGAPORE           SG,87.43,"003767      BAR/NIGHTCLUB
THE KITCHEN BY WOLFGANG PUCK
SINGAPORE
SG
Foreign Spend Amount: 112.70 SINGAPORE DOLLAR Commission Amount:  Currency Exchange Rate: null",THE KITCHEN BY WOLFGSINGAPORE           SG,"65 AIRPORT BOULEVARD
#02-42 CHANGI AIRPORT TERMINAL 3
SINGAPORE",,819663,SINGAPORE,'320242650199486243',Restaurant-Restaurant
09/21/2024,BIGHOUSE PTE LTD-B49SINGAPORE           SG,4.65,"2790520286  97953863
BIGHOUSE PTE LTD-B4958 789792
SINGAPORE
SG
97953863Foreign Spend Amount: 6.00 SINGAPORE DOLLAR Commission Amount:  Currency Exchange Rate: null",BIGHOUSE PTE LTD-B49SINGAPORE           SG,"17 JALAN PINANG
SINGAPORE",,199149,SINGAPORE,'320242650200829483',Restaurant-Restaurant
09/21/2024,BIGHOUSE PTE LTD-B49SINGAPORE           SG,51.62,"2790504427  97953863
BIGHOUSE PTE LTD-B4958 789792
SINGAPORE
SG
97953863Foreign Spend Amount: 66.54 SINGAPORE DOLLAR Commission Amount:  Currency Exchange Rate: null",BIGHOUSE PTE LTD-B49SINGAPORE           SG,"17 JALAN PINANG
SINGAPORE",,199149,SINGAPORE,'320242650200817123',Restaurant-Restaurant
09/21/2024,FOREIGN TRANSACTION FEE,0.12,"BIGHOUSE PTE LTD-B4958 789792
$4.65
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242650200829483',Fees & Adjustments-Fees & Adjustments
09/21/2024,FOREIGN TRANSACTION FEE,0.25,"PAN PACIFIC SINGAPORE-FRONT OFFICE
$9.31
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242650199486257',Fees & Adjustments-Fees & Adjustments
09/21/2024,FOREIGN TRANSACTION FEE,0.42,"GRAB*A-6U4IJMXGWGR2
$15.58
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242650206797627',Fees & Adjustments-Fees & Adjustments
09/21/2024,FOREIGN TRANSACTION FEE,1.39,"BIGHOUSE PTE LTD-B4958 789792
$51.62
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820242650200817123',Fees & Adjustments-Fees & Adjustments
