Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
09/01/2024,AELLISEU            SEOUL,14.59,"RESTAURANT
09/01/2024,FOREIGN TRANSACTION FEE,0.03,"kakaomobility
09/01/2024,FOREIGN TRANSACTION FEE,0.05,"kakaomobility
09/01/2024,FOREIGN TRANSACTION FEE,0.08,"kakaomobility
09/01/2024,FOREIGN TRANSACTION FEE,0.14,"kakaomobility
09/01/2024,FOREIGN TRANSACTION FEE,0.15,"kakaomobility
09/01/2024,FOREIGN TRANSACTION FEE,0.26,"kakaomobility
09/01/2024,FOREIGN TRANSACTION FEE,0.39,"AELLISEU
09/01/2024,FOREIGN TRANSACTION FEE,1.08,"LEDEUSINEMA
09/01/2024,FOREIGN TRANSACTION FEE,1.10,"JOOSIKHOISA LEUCHAEMBEO
09/01/2024,FOREIGN TRANSACTION FEE,1.57,"JOOSIKHOISA PIIEL
09/01/2024,FOREIGN TRANSACTION FEE,1.81,"GERISEUN
09/01/2024,FOREIGN TRANSACTION FEE,3.15,"HOBOSIKDANG
09/01/2024,GERISEUN            SEOUL,67.10,"RESTAURANT
09/01/2024,HOBOSIKDANG         SEOUL,116.70,"RESTAURANT
09/01/2024,JOOSIKHOISA LEUCHAEMSEOUL,40.85,"RESTAURANT
09/01/2024,JOOSIKHOISA PIIEL   SEOUL,58.35,"RESTAURANT
09/01/2024,LEDEUSINEMA         SEOUL,40.12,"RESTAURANT
09/01/2024,kakaomobility       SEOUL,1.46,"MISC/SPECIALTY RETAIL
09/01/2024,kakaomobility       SEOUL,2.19,"MISC/SPECIALTY RETAIL
09/01/2024,kakaomobility       SEOUL,3.28,"MISC/SPECIALTY RETAIL
09/01/2024,kakaomobility       SEOUL,5.40,"MISC/SPECIALTY RETAIL
09/01/2024,kakaomobility       SEOUL,5.91,"MISC/SPECIALTY RETAIL
09/01/2024,kakaomobility       SEOUL,9.63,"MISC/SPECIALTY RETAIL
